export-plot data (NetLogo 6.2.0),,,,,,,,,,,,,,,,,
.worked_SEN1211_recyclingplastic_group5.tmp.nlogo,,,,,,,,,,,,,,,,,
01/16/2022 17:43:57:654 +0100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,,,
initial-perc-singles,initial-num-collection-points,show-bottles?,fraction-of-collection,model-version,population,initial-perc-families,loss-rate,fraction-of-technology,total-budget,fraction-of-campaign,recycling-changing-ratio,initial-perc-couples,max-bottles,initial-num-recycling-companies,c-capacity,collection-changing-ratio,r-capacity
0.4,8,TRUE,0.33,"""yes-policy""",100,0.3,0,0.33,1000,0.33,1,0.3,1E+14,2,814101,2,558001
,,,,,,,,,,,,,,,,,
"""Overview""",,,,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,,,
0,211,0,10000,TRUE,"""total-recycle""",TRUE,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,,,
"""total-recycle""",TRUE,0,1,0,209,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"""total-recycle""",,,,,,,,,,,,,,,,,
x,y,color,pen down?,,,,,,,,,,,,,,
0,0,0,TRUE,,,,,,,,,,,,,,
1,0,0,TRUE,,,,,,,,,,,,,,
2,0,0,TRUE,,,,,,,,,,,,,,
3,0,0,TRUE,,,,,,,,,,,,,,
4,0,0,TRUE,,,,,,,,,,,,,,
5,0,0,TRUE,,,,,,,,,,,,,,
6,0,0,TRUE,,,,,,,,,,,,,,
7,0,0,TRUE,,,,,,,,,,,,,,
8,0,0,TRUE,,,,,,,,,,,,,,
9,0,0,TRUE,,,,,,,,,,,,,,
10,0,0,TRUE,,,,,,,,,,,,,,
11,0,0,TRUE,,,,,,,,,,,,,,
12,0,0,TRUE,,,,,,,,,,,,,,
13,0,0,TRUE,,,,,,,,,,,,,,
14,0,0,TRUE,,,,,,,,,,,,,,
15,0,0,TRUE,,,,,,,,,,,,,,
16,381.6347782,0,TRUE,,,,,,,,,,,,,,
17,381.6347782,0,TRUE,,,,,,,,,,,,,,
18,381.6347782,0,TRUE,,,,,,,,,,,,,,
19,381.6347782,0,TRUE,,,,,,,,,,,,,,
20,381.6347782,0,TRUE,,,,,,,,,,,,,,
21,381.6347782,0,TRUE,,,,,,,,,,,,,,
22,381.6347782,0,TRUE,,,,,,,,,,,,,,
23,381.6347782,0,TRUE,,,,,,,,,,,,,,
24,381.6347782,0,TRUE,,,,,,,,,,,,,,
25,381.6347782,0,TRUE,,,,,,,,,,,,,,
26,381.6347782,0,TRUE,,,,,,,,,,,,,,
27,381.6347782,0,TRUE,,,,,,,,,,,,,,
28,381.6347782,0,TRUE,,,,,,,,,,,,,,
29,381.6347782,0,TRUE,,,,,,,,,,,,,,
30,381.6347782,0,TRUE,,,,,,,,,,,,,,
31,381.6347782,0,TRUE,,,,,,,,,,,,,,
32,666.4802676,0,TRUE,,,,,,,,,,,,,,
33,666.4802676,0,TRUE,,,,,,,,,,,,,,
34,666.4802676,0,TRUE,,,,,,,,,,,,,,
35,666.4802676,0,TRUE,,,,,,,,,,,,,,
36,666.4802676,0,TRUE,,,,,,,,,,,,,,
37,666.4802676,0,TRUE,,,,,,,,,,,,,,
38,666.4802676,0,TRUE,,,,,,,,,,,,,,
39,666.4802676,0,TRUE,,,,,,,,,,,,,,
40,666.4802676,0,TRUE,,,,,,,,,,,,,,
41,666.4802676,0,TRUE,,,,,,,,,,,,,,
42,666.4802676,0,TRUE,,,,,,,,,,,,,,
43,666.4802676,0,TRUE,,,,,,,,,,,,,,
44,666.4802676,0,TRUE,,,,,,,,,,,,,,
45,666.4802676,0,TRUE,,,,,,,,,,,,,,
46,666.4802676,0,TRUE,,,,,,,,,,,,,,
47,666.4802676,0,TRUE,,,,,,,,,,,,,,
48,1017.696793,0,TRUE,,,,,,,,,,,,,,
49,1017.696793,0,TRUE,,,,,,,,,,,,,,
50,1017.696793,0,TRUE,,,,,,,,,,,,,,
51,1017.696793,0,TRUE,,,,,,,,,,,,,,
52,1017.696793,0,TRUE,,,,,,,,,,,,,,
53,1017.696793,0,TRUE,,,,,,,,,,,,,,
54,1017.696793,0,TRUE,,,,,,,,,,,,,,
55,1017.696793,0,TRUE,,,,,,,,,,,,,,
56,1017.696793,0,TRUE,,,,,,,,,,,,,,
57,1017.696793,0,TRUE,,,,,,,,,,,,,,
58,1017.696793,0,TRUE,,,,,,,,,,,,,,
59,1017.696793,0,TRUE,,,,,,,,,,,,,,
60,1017.696793,0,TRUE,,,,,,,,,,,,,,
61,1017.696793,0,TRUE,,,,,,,,,,,,,,
62,1017.696793,0,TRUE,,,,,,,,,,,,,,
63,1017.696793,0,TRUE,,,,,,,,,,,,,,
64,1339.547771,0,TRUE,,,,,,,,,,,,,,
65,1339.547771,0,TRUE,,,,,,,,,,,,,,
66,1339.547771,0,TRUE,,,,,,,,,,,,,,
67,1339.547771,0,TRUE,,,,,,,,,,,,,,
68,1339.547771,0,TRUE,,,,,,,,,,,,,,
69,1339.547771,0,TRUE,,,,,,,,,,,,,,
70,1339.547771,0,TRUE,,,,,,,,,,,,,,
71,1339.547771,0,TRUE,,,,,,,,,,,,,,
72,1339.547771,0,TRUE,,,,,,,,,,,,,,
73,1339.547771,0,TRUE,,,,,,,,,,,,,,
74,1339.547771,0,TRUE,,,,,,,,,,,,,,
75,1339.547771,0,TRUE,,,,,,,,,,,,,,
76,1339.547771,0,TRUE,,,,,,,,,,,,,,
77,1339.547771,0,TRUE,,,,,,,,,,,,,,
78,1339.547771,0,TRUE,,,,,,,,,,,,,,
79,1339.547771,0,TRUE,,,,,,,,,,,,,,
80,1705.22906,0,TRUE,,,,,,,,,,,,,,
81,1705.22906,0,TRUE,,,,,,,,,,,,,,
82,1705.22906,0,TRUE,,,,,,,,,,,,,,
83,1705.22906,0,TRUE,,,,,,,,,,,,,,
84,1705.22906,0,TRUE,,,,,,,,,,,,,,
85,1705.22906,0,TRUE,,,,,,,,,,,,,,
86,1705.22906,0,TRUE,,,,,,,,,,,,,,
87,1705.22906,0,TRUE,,,,,,,,,,,,,,
88,1705.22906,0,TRUE,,,,,,,,,,,,,,
89,1705.22906,0,TRUE,,,,,,,,,,,,,,
90,1705.22906,0,TRUE,,,,,,,,,,,,,,
91,1705.22906,0,TRUE,,,,,,,,,,,,,,
92,1705.22906,0,TRUE,,,,,,,,,,,,,,
93,1705.22906,0,TRUE,,,,,,,,,,,,,,
94,1705.22906,0,TRUE,,,,,,,,,,,,,,
95,1705.22906,0,TRUE,,,,,,,,,,,,,,
96,2026.608444,0,TRUE,,,,,,,,,,,,,,
97,2026.608444,0,TRUE,,,,,,,,,,,,,,
98,2026.608444,0,TRUE,,,,,,,,,,,,,,
99,2026.608444,0,TRUE,,,,,,,,,,,,,,
100,2026.608444,0,TRUE,,,,,,,,,,,,,,
101,2026.608444,0,TRUE,,,,,,,,,,,,,,
102,2026.608444,0,TRUE,,,,,,,,,,,,,,
103,2026.608444,0,TRUE,,,,,,,,,,,,,,
104,2026.608444,0,TRUE,,,,,,,,,,,,,,
105,2026.608444,0,TRUE,,,,,,,,,,,,,,
106,2026.608444,0,TRUE,,,,,,,,,,,,,,
107,2026.608444,0,TRUE,,,,,,,,,,,,,,
108,2026.608444,0,TRUE,,,,,,,,,,,,,,
109,2026.608444,0,TRUE,,,,,,,,,,,,,,
110,2026.608444,0,TRUE,,,,,,,,,,,,,,
111,2026.608444,0,TRUE,,,,,,,,,,,,,,
112,2364.593954,0,TRUE,,,,,,,,,,,,,,
113,2364.593954,0,TRUE,,,,,,,,,,,,,,
114,2364.593954,0,TRUE,,,,,,,,,,,,,,
115,2364.593954,0,TRUE,,,,,,,,,,,,,,
116,2364.593954,0,TRUE,,,,,,,,,,,,,,
117,2364.593954,0,TRUE,,,,,,,,,,,,,,
118,2364.593954,0,TRUE,,,,,,,,,,,,,,
119,2364.593954,0,TRUE,,,,,,,,,,,,,,
120,2364.593954,0,TRUE,,,,,,,,,,,,,,
121,2364.593954,0,TRUE,,,,,,,,,,,,,,
122,2364.593954,0,TRUE,,,,,,,,,,,,,,
123,2364.593954,0,TRUE,,,,,,,,,,,,,,
124,2364.593954,0,TRUE,,,,,,,,,,,,,,
125,2364.593954,0,TRUE,,,,,,,,,,,,,,
126,2364.593954,0,TRUE,,,,,,,,,,,,,,
127,2364.593954,0,TRUE,,,,,,,,,,,,,,
128,2658.274059,0,TRUE,,,,,,,,,,,,,,
129,2658.274059,0,TRUE,,,,,,,,,,,,,,
130,2658.274059,0,TRUE,,,,,,,,,,,,,,
131,2658.274059,0,TRUE,,,,,,,,,,,,,,
132,2658.274059,0,TRUE,,,,,,,,,,,,,,
133,2658.274059,0,TRUE,,,,,,,,,,,,,,
134,2658.274059,0,TRUE,,,,,,,,,,,,,,
135,2658.274059,0,TRUE,,,,,,,,,,,,,,
136,2658.274059,0,TRUE,,,,,,,,,,,,,,
137,2658.274059,0,TRUE,,,,,,,,,,,,,,
138,2658.274059,0,TRUE,,,,,,,,,,,,,,
139,2658.274059,0,TRUE,,,,,,,,,,,,,,
140,2658.274059,0,TRUE,,,,,,,,,,,,,,
141,2658.274059,0,TRUE,,,,,,,,,,,,,,
142,2658.274059,0,TRUE,,,,,,,,,,,,,,
143,2658.274059,0,TRUE,,,,,,,,,,,,,,
144,2968.213526,0,TRUE,,,,,,,,,,,,,,
145,2968.213526,0,TRUE,,,,,,,,,,,,,,
146,2968.213526,0,TRUE,,,,,,,,,,,,,,
147,2968.213526,0,TRUE,,,,,,,,,,,,,,
148,2968.213526,0,TRUE,,,,,,,,,,,,,,
149,2968.213526,0,TRUE,,,,,,,,,,,,,,
150,2968.213526,0,TRUE,,,,,,,,,,,,,,
151,2968.213526,0,TRUE,,,,,,,,,,,,,,
152,2968.213526,0,TRUE,,,,,,,,,,,,,,
153,2968.213526,0,TRUE,,,,,,,,,,,,,,
154,2968.213526,0,TRUE,,,,,,,,,,,,,,
155,2968.213526,0,TRUE,,,,,,,,,,,,,,
156,2968.213526,0,TRUE,,,,,,,,,,,,,,
157,2968.213526,0,TRUE,,,,,,,,,,,,,,
158,2968.213526,0,TRUE,,,,,,,,,,,,,,
159,2968.213526,0,TRUE,,,,,,,,,,,,,,
160,3281.805935,0,TRUE,,,,,,,,,,,,,,
161,3281.805935,0,TRUE,,,,,,,,,,,,,,
162,3281.805935,0,TRUE,,,,,,,,,,,,,,
163,3281.805935,0,TRUE,,,,,,,,,,,,,,
164,3281.805935,0,TRUE,,,,,,,,,,,,,,
165,3281.805935,0,TRUE,,,,,,,,,,,,,,
166,3281.805935,0,TRUE,,,,,,,,,,,,,,
167,3281.805935,0,TRUE,,,,,,,,,,,,,,
168,3281.805935,0,TRUE,,,,,,,,,,,,,,
169,3281.805935,0,TRUE,,,,,,,,,,,,,,
170,3281.805935,0,TRUE,,,,,,,,,,,,,,
171,3281.805935,0,TRUE,,,,,,,,,,,,,,
172,3281.805935,0,TRUE,,,,,,,,,,,,,,
173,3281.805935,0,TRUE,,,,,,,,,,,,,,
174,3281.805935,0,TRUE,,,,,,,,,,,,,,
175,3281.805935,0,TRUE,,,,,,,,,,,,,,
176,3619.675155,0,TRUE,,,,,,,,,,,,,,
177,3619.675155,0,TRUE,,,,,,,,,,,,,,
178,3619.675155,0,TRUE,,,,,,,,,,,,,,
179,3619.675155,0,TRUE,,,,,,,,,,,,,,
180,3619.675155,0,TRUE,,,,,,,,,,,,,,
181,3619.675155,0,TRUE,,,,,,,,,,,,,,
182,3619.675155,0,TRUE,,,,,,,,,,,,,,
183,3619.675155,0,TRUE,,,,,,,,,,,,,,
184,3619.675155,0,TRUE,,,,,,,,,,,,,,
185,3619.675155,0,TRUE,,,,,,,,,,,,,,
186,3619.675155,0,TRUE,,,,,,,,,,,,,,
187,3619.675155,0,TRUE,,,,,,,,,,,,,,
188,3619.675155,0,TRUE,,,,,,,,,,,,,,
189,3619.675155,0,TRUE,,,,,,,,,,,,,,
190,3619.675155,0,TRUE,,,,,,,,,,,,,,
191,3619.675155,0,TRUE,,,,,,,,,,,,,,
192,3994.937315,0,TRUE,,,,,,,,,,,,,,
193,3994.937315,0,TRUE,,,,,,,,,,,,,,
194,3994.937315,0,TRUE,,,,,,,,,,,,,,
195,3994.937315,0,TRUE,,,,,,,,,,,,,,
196,3994.937315,0,TRUE,,,,,,,,,,,,,,
197,3994.937315,0,TRUE,,,,,,,,,,,,,,
198,3994.937315,0,TRUE,,,,,,,,,,,,,,
199,3994.937315,0,TRUE,,,,,,,,,,,,,,
200,3994.937315,0,TRUE,,,,,,,,,,,,,,
201,3994.937315,0,TRUE,,,,,,,,,,,,,,
202,3994.937315,0,TRUE,,,,,,,,,,,,,,
203,3994.937315,0,TRUE,,,,,,,,,,,,,,
204,3994.937315,0,TRUE,,,,,,,,,,,,,,
205,3994.937315,0,TRUE,,,,,,,,,,,,,,
206,3994.937315,0,TRUE,,,,,,,,,,,,,,
207,3994.937315,0,TRUE,,,,,,,,,,,,,,
208,4339.740719,0,TRUE,,,,,,,,,,,,,,
209,4339.740719,0,TRUE,,,,,,,,,,,,,,
