export-plot data (NetLogo 6.2.0),,,,,,,,,,,,,,,,,
.worked_SEN1211_recyclingplastic_group5.tmp.nlogo,,,,,,,,,,,,,,,,,
01/16/2022 17:31:35:956 +0100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,,,
initial-perc-singles,initial-num-collection-points,show-bottles?,fraction-of-collection,model-version,population,initial-perc-families,loss-rate,fraction-of-technology,total-budget,fraction-of-campaign,recycling-changing-ratio,initial-perc-couples,max-bottles,initial-num-recycling-companies,c-capacity,collection-changing-ratio,r-capacity
0.4,8,TRUE,0.27,"""yes-policy""",100,0.3,0,0.25,1000,0.25,1,0.3,1E+14,2,814101,2,558001
,,,,,,,,,,,,,,,,,
"""Overview""",,,,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,,,
0,211,0,10000,TRUE,"""total-recycle""",TRUE,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,,,
"""total-recycle""",TRUE,0,1,0,209,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"""total-recycle""",,,,,,,,,,,,,,,,,
x,y,color,pen down?,,,,,,,,,,,,,,
0,0,0,TRUE,,,,,,,,,,,,,,
1,0,0,TRUE,,,,,,,,,,,,,,
2,0,0,TRUE,,,,,,,,,,,,,,
3,0,0,TRUE,,,,,,,,,,,,,,
4,0,0,TRUE,,,,,,,,,,,,,,
5,0,0,TRUE,,,,,,,,,,,,,,
6,0,0,TRUE,,,,,,,,,,,,,,
7,0,0,TRUE,,,,,,,,,,,,,,
8,0,0,TRUE,,,,,,,,,,,,,,
9,0,0,TRUE,,,,,,,,,,,,,,
10,0,0,TRUE,,,,,,,,,,,,,,
11,0,0,TRUE,,,,,,,,,,,,,,
12,0,0,TRUE,,,,,,,,,,,,,,
13,0,0,TRUE,,,,,,,,,,,,,,
14,0,0,TRUE,,,,,,,,,,,,,,
15,0,0,TRUE,,,,,,,,,,,,,,
16,281.0401873,0,TRUE,,,,,,,,,,,,,,
17,281.0401873,0,TRUE,,,,,,,,,,,,,,
18,281.0401873,0,TRUE,,,,,,,,,,,,,,
19,281.0401873,0,TRUE,,,,,,,,,,,,,,
20,281.0401873,0,TRUE,,,,,,,,,,,,,,
21,281.0401873,0,TRUE,,,,,,,,,,,,,,
22,281.0401873,0,TRUE,,,,,,,,,,,,,,
23,281.0401873,0,TRUE,,,,,,,,,,,,,,
24,281.0401873,0,TRUE,,,,,,,,,,,,,,
25,281.0401873,0,TRUE,,,,,,,,,,,,,,
26,281.0401873,0,TRUE,,,,,,,,,,,,,,
27,281.0401873,0,TRUE,,,,,,,,,,,,,,
28,281.0401873,0,TRUE,,,,,,,,,,,,,,
29,281.0401873,0,TRUE,,,,,,,,,,,,,,
30,281.0401873,0,TRUE,,,,,,,,,,,,,,
31,281.0401873,0,TRUE,,,,,,,,,,,,,,
32,598.6812034,0,TRUE,,,,,,,,,,,,,,
33,598.6812034,0,TRUE,,,,,,,,,,,,,,
34,598.6812034,0,TRUE,,,,,,,,,,,,,,
35,598.6812034,0,TRUE,,,,,,,,,,,,,,
36,598.6812034,0,TRUE,,,,,,,,,,,,,,
37,598.6812034,0,TRUE,,,,,,,,,,,,,,
38,598.6812034,0,TRUE,,,,,,,,,,,,,,
39,598.6812034,0,TRUE,,,,,,,,,,,,,,
40,598.6812034,0,TRUE,,,,,,,,,,,,,,
41,598.6812034,0,TRUE,,,,,,,,,,,,,,
42,598.6812034,0,TRUE,,,,,,,,,,,,,,
43,598.6812034,0,TRUE,,,,,,,,,,,,,,
44,598.6812034,0,TRUE,,,,,,,,,,,,,,
45,598.6812034,0,TRUE,,,,,,,,,,,,,,
46,598.6812034,0,TRUE,,,,,,,,,,,,,,
47,598.6812034,0,TRUE,,,,,,,,,,,,,,
48,897.2966331,0,TRUE,,,,,,,,,,,,,,
49,897.2966331,0,TRUE,,,,,,,,,,,,,,
50,897.2966331,0,TRUE,,,,,,,,,,,,,,
51,897.2966331,0,TRUE,,,,,,,,,,,,,,
52,897.2966331,0,TRUE,,,,,,,,,,,,,,
53,897.2966331,0,TRUE,,,,,,,,,,,,,,
54,897.2966331,0,TRUE,,,,,,,,,,,,,,
55,897.2966331,0,TRUE,,,,,,,,,,,,,,
56,897.2966331,0,TRUE,,,,,,,,,,,,,,
57,897.2966331,0,TRUE,,,,,,,,,,,,,,
58,897.2966331,0,TRUE,,,,,,,,,,,,,,
59,897.2966331,0,TRUE,,,,,,,,,,,,,,
60,897.2966331,0,TRUE,,,,,,,,,,,,,,
61,897.2966331,0,TRUE,,,,,,,,,,,,,,
62,897.2966331,0,TRUE,,,,,,,,,,,,,,
63,897.2966331,0,TRUE,,,,,,,,,,,,,,
64,1203.438848,0,TRUE,,,,,,,,,,,,,,
65,1203.438848,0,TRUE,,,,,,,,,,,,,,
66,1203.438848,0,TRUE,,,,,,,,,,,,,,
67,1203.438848,0,TRUE,,,,,,,,,,,,,,
68,1203.438848,0,TRUE,,,,,,,,,,,,,,
69,1203.438848,0,TRUE,,,,,,,,,,,,,,
70,1203.438848,0,TRUE,,,,,,,,,,,,,,
71,1203.438848,0,TRUE,,,,,,,,,,,,,,
72,1203.438848,0,TRUE,,,,,,,,,,,,,,
73,1203.438848,0,TRUE,,,,,,,,,,,,,,
74,1203.438848,0,TRUE,,,,,,,,,,,,,,
75,1203.438848,0,TRUE,,,,,,,,,,,,,,
76,1203.438848,0,TRUE,,,,,,,,,,,,,,
77,1203.438848,0,TRUE,,,,,,,,,,,,,,
78,1203.438848,0,TRUE,,,,,,,,,,,,,,
79,1203.438848,0,TRUE,,,,,,,,,,,,,,
80,1535.012237,0,TRUE,,,,,,,,,,,,,,
81,1535.012237,0,TRUE,,,,,,,,,,,,,,
82,1535.012237,0,TRUE,,,,,,,,,,,,,,
83,1535.012237,0,TRUE,,,,,,,,,,,,,,
84,1535.012237,0,TRUE,,,,,,,,,,,,,,
85,1535.012237,0,TRUE,,,,,,,,,,,,,,
86,1535.012237,0,TRUE,,,,,,,,,,,,,,
87,1535.012237,0,TRUE,,,,,,,,,,,,,,
88,1535.012237,0,TRUE,,,,,,,,,,,,,,
89,1535.012237,0,TRUE,,,,,,,,,,,,,,
90,1535.012237,0,TRUE,,,,,,,,,,,,,,
91,1535.012237,0,TRUE,,,,,,,,,,,,,,
92,1535.012237,0,TRUE,,,,,,,,,,,,,,
93,1535.012237,0,TRUE,,,,,,,,,,,,,,
94,1535.012237,0,TRUE,,,,,,,,,,,,,,
95,1535.012237,0,TRUE,,,,,,,,,,,,,,
96,1832.808009,0,TRUE,,,,,,,,,,,,,,
97,1832.808009,0,TRUE,,,,,,,,,,,,,,
98,1832.808009,0,TRUE,,,,,,,,,,,,,,
99,1832.808009,0,TRUE,,,,,,,,,,,,,,
100,1832.808009,0,TRUE,,,,,,,,,,,,,,
101,1832.808009,0,TRUE,,,,,,,,,,,,,,
102,1832.808009,0,TRUE,,,,,,,,,,,,,,
103,1832.808009,0,TRUE,,,,,,,,,,,,,,
104,1832.808009,0,TRUE,,,,,,,,,,,,,,
105,1832.808009,0,TRUE,,,,,,,,,,,,,,
106,1832.808009,0,TRUE,,,,,,,,,,,,,,
107,1832.808009,0,TRUE,,,,,,,,,,,,,,
108,1832.808009,0,TRUE,,,,,,,,,,,,,,
109,1832.808009,0,TRUE,,,,,,,,,,,,,,
110,1832.808009,0,TRUE,,,,,,,,,,,,,,
111,1832.808009,0,TRUE,,,,,,,,,,,,,,
112,2147.715461,0,TRUE,,,,,,,,,,,,,,
113,2147.715461,0,TRUE,,,,,,,,,,,,,,
114,2147.715461,0,TRUE,,,,,,,,,,,,,,
115,2147.715461,0,TRUE,,,,,,,,,,,,,,
116,2147.715461,0,TRUE,,,,,,,,,,,,,,
117,2147.715461,0,TRUE,,,,,,,,,,,,,,
118,2147.715461,0,TRUE,,,,,,,,,,,,,,
119,2147.715461,0,TRUE,,,,,,,,,,,,,,
120,2147.715461,0,TRUE,,,,,,,,,,,,,,
121,2147.715461,0,TRUE,,,,,,,,,,,,,,
122,2147.715461,0,TRUE,,,,,,,,,,,,,,
123,2147.715461,0,TRUE,,,,,,,,,,,,,,
124,2147.715461,0,TRUE,,,,,,,,,,,,,,
125,2147.715461,0,TRUE,,,,,,,,,,,,,,
126,2147.715461,0,TRUE,,,,,,,,,,,,,,
127,2147.715461,0,TRUE,,,,,,,,,,,,,,
