export-plot data (NetLogo 6.2.0),,,,,,,,,,,,,,,,,
.worked_SEN1211_recyclingplastic_group5.tmp.nlogo,,,,,,,,,,,,,,,,,
01/16/2022 17:33:22:569 +0100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,,,
initial-perc-singles,initial-num-collection-points,show-bottles?,fraction-of-collection,model-version,population,initial-perc-families,loss-rate,fraction-of-technology,total-budget,fraction-of-campaign,recycling-changing-ratio,initial-perc-couples,max-bottles,initial-num-recycling-companies,c-capacity,collection-changing-ratio,r-capacity
0.4,8,TRUE,0.5,"""yes-policy""",100,0.3,0,0.25,1000,0.25,1,0.3,1E+14,2,814101,2,558001
,,,,,,,,,,,,,,,,,
"""Overview""",,,,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,,,
0,211,0,10000,TRUE,"""total-recycle""",TRUE,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,,,
"""total-recycle""",TRUE,0,1,0,209,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"""total-recycle""",,,,,,,,,,,,,,,,,
x,y,color,pen down?,,,,,,,,,,,,,,
0,0,0,TRUE,,,,,,,,,,,,,,
1,0,0,TRUE,,,,,,,,,,,,,,
2,0,0,TRUE,,,,,,,,,,,,,,
3,0,0,TRUE,,,,,,,,,,,,,,
4,0,0,TRUE,,,,,,,,,,,,,,
5,0,0,TRUE,,,,,,,,,,,,,,
6,0,0,TRUE,,,,,,,,,,,,,,
7,0,0,TRUE,,,,,,,,,,,,,,
8,0,0,TRUE,,,,,,,,,,,,,,
9,0,0,TRUE,,,,,,,,,,,,,,
10,0,0,TRUE,,,,,,,,,,,,,,
11,0,0,TRUE,,,,,,,,,,,,,,
12,0,0,TRUE,,,,,,,,,,,,,,
13,0,0,TRUE,,,,,,,,,,,,,,
14,0,0,TRUE,,,,,,,,,,,,,,
15,0,0,TRUE,,,,,,,,,,,,,,
16,248.2329207,0,TRUE,,,,,,,,,,,,,,
17,248.2329207,0,TRUE,,,,,,,,,,,,,,
18,248.2329207,0,TRUE,,,,,,,,,,,,,,
19,248.2329207,0,TRUE,,,,,,,,,,,,,,
20,248.2329207,0,TRUE,,,,,,,,,,,,,,
21,248.2329207,0,TRUE,,,,,,,,,,,,,,
22,248.2329207,0,TRUE,,,,,,,,,,,,,,
23,248.2329207,0,TRUE,,,,,,,,,,,,,,
24,248.2329207,0,TRUE,,,,,,,,,,,,,,
25,248.2329207,0,TRUE,,,,,,,,,,,,,,
26,248.2329207,0,TRUE,,,,,,,,,,,,,,
27,248.2329207,0,TRUE,,,,,,,,,,,,,,
28,248.2329207,0,TRUE,,,,,,,,,,,,,,
29,248.2329207,0,TRUE,,,,,,,,,,,,,,
30,248.2329207,0,TRUE,,,,,,,,,,,,,,
31,248.2329207,0,TRUE,,,,,,,,,,,,,,
32,579.6364277,0,TRUE,,,,,,,,,,,,,,
33,579.6364277,0,TRUE,,,,,,,,,,,,,,
34,579.6364277,0,TRUE,,,,,,,,,,,,,,
35,579.6364277,0,TRUE,,,,,,,,,,,,,,
36,579.6364277,0,TRUE,,,,,,,,,,,,,,
37,579.6364277,0,TRUE,,,,,,,,,,,,,,
38,579.6364277,0,TRUE,,,,,,,,,,,,,,
39,579.6364277,0,TRUE,,,,,,,,,,,,,,
40,579.6364277,0,TRUE,,,,,,,,,,,,,,
41,579.6364277,0,TRUE,,,,,,,,,,,,,,
42,579.6364277,0,TRUE,,,,,,,,,,,,,,
43,579.6364277,0,TRUE,,,,,,,,,,,,,,
44,579.6364277,0,TRUE,,,,,,,,,,,,,,
45,579.6364277,0,TRUE,,,,,,,,,,,,,,
46,579.6364277,0,TRUE,,,,,,,,,,,,,,
47,579.6364277,0,TRUE,,,,,,,,,,,,,,
48,885.8721231,0,TRUE,,,,,,,,,,,,,,
49,885.8721231,0,TRUE,,,,,,,,,,,,,,
50,885.8721231,0,TRUE,,,,,,,,,,,,,,
51,885.8721231,0,TRUE,,,,,,,,,,,,,,
52,885.8721231,0,TRUE,,,,,,,,,,,,,,
