export-plot data (NetLogo 6.2.0),,,,,,,,,,,,,,,,,
.worked_SEN1211_recyclingplastic_group5.tmp.nlogo,,,,,,,,,,,,,,,,,
01/16/2022 17:45:30:251 +0100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,,,
initial-perc-singles,initial-num-collection-points,show-bottles?,fraction-of-collection,model-version,population,initial-perc-families,loss-rate,fraction-of-technology,total-budget,fraction-of-campaign,recycling-changing-ratio,initial-perc-couples,max-bottles,initial-num-recycling-companies,c-capacity,collection-changing-ratio,r-capacity
0.4,8,TRUE,0,"""no-policy""",100,0.3,0,0,1000,0,1,0.3,1E+14,2,814101,2,558001
,,,,,,,,,,,,,,,,,
"""Overview""",,,,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,,,
0,211,0,10000,TRUE,"""total-recycle""",TRUE,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,,,
"""total-recycle""",TRUE,0,1,0,209,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"""total-recycle""",,,,,,,,,,,,,,,,,
x,y,color,pen down?,,,,,,,,,,,,,,
0,0,0,TRUE,,,,,,,,,,,,,,
1,0,0,TRUE,,,,,,,,,,,,,,
2,0,0,TRUE,,,,,,,,,,,,,,
3,0,0,TRUE,,,,,,,,,,,,,,
4,0,0,TRUE,,,,,,,,,,,,,,
5,0,0,TRUE,,,,,,,,,,,,,,
6,0,0,TRUE,,,,,,,,,,,,,,
7,0,0,TRUE,,,,,,,,,,,,,,
8,0,0,TRUE,,,,,,,,,,,,,,
9,0,0,TRUE,,,,,,,,,,,,,,
10,0,0,TRUE,,,,,,,,,,,,,,
11,0,0,TRUE,,,,,,,,,,,,,,
12,0,0,TRUE,,,,,,,,,,,,,,
13,0,0,TRUE,,,,,,,,,,,,,,
14,0,0,TRUE,,,,,,,,,,,,,,
15,0,0,TRUE,,,,,,,,,,,,,,
16,380.1580303,0,TRUE,,,,,,,,,,,,,,
17,380.1580303,0,TRUE,,,,,,,,,,,,,,
18,380.1580303,0,TRUE,,,,,,,,,,,,,,
19,380.1580303,0,TRUE,,,,,,,,,,,,,,
20,380.1580303,0,TRUE,,,,,,,,,,,,,,
21,380.1580303,0,TRUE,,,,,,,,,,,,,,
22,380.1580303,0,TRUE,,,,,,,,,,,,,,
23,380.1580303,0,TRUE,,,,,,,,,,,,,,
24,380.1580303,0,TRUE,,,,,,,,,,,,,,
25,380.1580303,0,TRUE,,,,,,,,,,,,,,
26,380.1580303,0,TRUE,,,,,,,,,,,,,,
27,380.1580303,0,TRUE,,,,,,,,,,,,,,
28,380.1580303,0,TRUE,,,,,,,,,,,,,,
29,380.1580303,0,TRUE,,,,,,,,,,,,,,
30,380.1580303,0,TRUE,,,,,,,,,,,,,,
31,380.1580303,0,TRUE,,,,,,,,,,,,,,
32,758.7901105,0,TRUE,,,,,,,,,,,,,,
33,758.7901105,0,TRUE,,,,,,,,,,,,,,
34,758.7901105,0,TRUE,,,,,,,,,,,,,,
35,758.7901105,0,TRUE,,,,,,,,,,,,,,
36,758.7901105,0,TRUE,,,,,,,,,,,,,,
37,758.7901105,0,TRUE,,,,,,,,,,,,,,
38,758.7901105,0,TRUE,,,,,,,,,,,,,,
39,758.7901105,0,TRUE,,,,,,,,,,,,,,
40,758.7901105,0,TRUE,,,,,,,,,,,,,,
41,758.7901105,0,TRUE,,,,,,,,,,,,,,
42,758.7901105,0,TRUE,,,,,,,,,,,,,,
43,758.7901105,0,TRUE,,,,,,,,,,,,,,
44,758.7901105,0,TRUE,,,,,,,,,,,,,,
45,758.7901105,0,TRUE,,,,,,,,,,,,,,
46,758.7901105,0,TRUE,,,,,,,,,,,,,,
47,758.7901105,0,TRUE,,,,,,,,,,,,,,
48,1136.688893,0,TRUE,,,,,,,,,,,,,,
49,1136.688893,0,TRUE,,,,,,,,,,,,,,
50,1136.688893,0,TRUE,,,,,,,,,,,,,,
51,1136.688893,0,TRUE,,,,,,,,,,,,,,
52,1136.688893,0,TRUE,,,,,,,,,,,,,,
53,1136.688893,0,TRUE,,,,,,,,,,,,,,
54,1136.688893,0,TRUE,,,,,,,,,,,,,,
55,1136.688893,0,TRUE,,,,,,,,,,,,,,
56,1136.688893,0,TRUE,,,,,,,,,,,,,,
57,1136.688893,0,TRUE,,,,,,,,,,,,,,
58,1136.688893,0,TRUE,,,,,,,,,,,,,,
59,1136.688893,0,TRUE,,,,,,,,,,,,,,
60,1136.688893,0,TRUE,,,,,,,,,,,,,,
61,1136.688893,0,TRUE,,,,,,,,,,,,,,
62,1136.688893,0,TRUE,,,,,,,,,,,,,,
63,1136.688893,0,TRUE,,,,,,,,,,,,,,
64,1460.417005,0,TRUE,,,,,,,,,,,,,,
65,1460.417005,0,TRUE,,,,,,,,,,,,,,
66,1460.417005,0,TRUE,,,,,,,,,,,,,,
67,1460.417005,0,TRUE,,,,,,,,,,,,,,
68,1460.417005,0,TRUE,,,,,,,,,,,,,,
69,1460.417005,0,TRUE,,,,,,,,,,,,,,
70,1460.417005,0,TRUE,,,,,,,,,,,,,,
71,1460.417005,0,TRUE,,,,,,,,,,,,,,
72,1460.417005,0,TRUE,,,,,,,,,,,,,,
73,1460.417005,0,TRUE,,,,,,,,,,,,,,
74,1460.417005,0,TRUE,,,,,,,,,,,,,,
75,1460.417005,0,TRUE,,,,,,,,,,,,,,
76,1460.417005,0,TRUE,,,,,,,,,,,,,,
77,1460.417005,0,TRUE,,,,,,,,,,,,,,
78,1460.417005,0,TRUE,,,,,,,,,,,,,,
79,1460.417005,0,TRUE,,,,,,,,,,,,,,
80,1813.540367,0,TRUE,,,,,,,,,,,,,,
81,1813.540367,0,TRUE,,,,,,,,,,,,,,
82,1813.540367,0,TRUE,,,,,,,,,,,,,,
83,1813.540367,0,TRUE,,,,,,,,,,,,,,
84,1813.540367,0,TRUE,,,,,,,,,,,,,,
85,1813.540367,0,TRUE,,,,,,,,,,,,,,
86,1813.540367,0,TRUE,,,,,,,,,,,,,,
87,1813.540367,0,TRUE,,,,,,,,,,,,,,
88,1813.540367,0,TRUE,,,,,,,,,,,,,,
89,1813.540367,0,TRUE,,,,,,,,,,,,,,
90,1813.540367,0,TRUE,,,,,,,,,,,,,,
91,1813.540367,0,TRUE,,,,,,,,,,,,,,
92,1813.540367,0,TRUE,,,,,,,,,,,,,,
93,1813.540367,0,TRUE,,,,,,,,,,,,,,
94,1813.540367,0,TRUE,,,,,,,,,,,,,,
95,1813.540367,0,TRUE,,,,,,,,,,,,,,
96,2187.221718,0,TRUE,,,,,,,,,,,,,,
97,2187.221718,0,TRUE,,,,,,,,,,,,,,
98,2187.221718,0,TRUE,,,,,,,,,,,,,,
99,2187.221718,0,TRUE,,,,,,,,,,,,,,
100,2187.221718,0,TRUE,,,,,,,,,,,,,,
101,2187.221718,0,TRUE,,,,,,,,,,,,,,
102,2187.221718,0,TRUE,,,,,,,,,,,,,,
103,2187.221718,0,TRUE,,,,,,,,,,,,,,
104,2187.221718,0,TRUE,,,,,,,,,,,,,,
105,2187.221718,0,TRUE,,,,,,,,,,,,,,
106,2187.221718,0,TRUE,,,,,,,,,,,,,,
107,2187.221718,0,TRUE,,,,,,,,,,,,,,
108,2187.221718,0,TRUE,,,,,,,,,,,,,,
109,2187.221718,0,TRUE,,,,,,,,,,,,,,
110,2187.221718,0,TRUE,,,,,,,,,,,,,,
111,2187.221718,0,TRUE,,,,,,,,,,,,,,
112,2471.420966,0,TRUE,,,,,,,,,,,,,,
113,2471.420966,0,TRUE,,,,,,,,,,,,,,
114,2471.420966,0,TRUE,,,,,,,,,,,,,,
115,2471.420966,0,TRUE,,,,,,,,,,,,,,
116,2471.420966,0,TRUE,,,,,,,,,,,,,,
117,2471.420966,0,TRUE,,,,,,,,,,,,,,
118,2471.420966,0,TRUE,,,,,,,,,,,,,,
119,2471.420966,0,TRUE,,,,,,,,,,,,,,
120,2471.420966,0,TRUE,,,,,,,,,,,,,,
121,2471.420966,0,TRUE,,,,,,,,,,,,,,
122,2471.420966,0,TRUE,,,,,,,,,,,,,,
123,2471.420966,0,TRUE,,,,,,,,,,,,,,
124,2471.420966,0,TRUE,,,,,,,,,,,,,,
125,2471.420966,0,TRUE,,,,,,,,,,,,,,
126,2471.420966,0,TRUE,,,,,,,,,,,,,,
127,2471.420966,0,TRUE,,,,,,,,,,,,,,
128,2808.30913,0,TRUE,,,,,,,,,,,,,,
129,2808.30913,0,TRUE,,,,,,,,,,,,,,
130,2808.30913,0,TRUE,,,,,,,,,,,,,,
131,2808.30913,0,TRUE,,,,,,,,,,,,,,
132,2808.30913,0,TRUE,,,,,,,,,,,,,,
133,2808.30913,0,TRUE,,,,,,,,,,,,,,
134,2808.30913,0,TRUE,,,,,,,,,,,,,,
135,2808.30913,0,TRUE,,,,,,,,,,,,,,
136,2808.30913,0,TRUE,,,,,,,,,,,,,,
137,2808.30913,0,TRUE,,,,,,,,,,,,,,
138,2808.30913,0,TRUE,,,,,,,,,,,,,,
139,2808.30913,0,TRUE,,,,,,,,,,,,,,
140,2808.30913,0,TRUE,,,,,,,,,,,,,,
141,2808.30913,0,TRUE,,,,,,,,,,,,,,
142,2808.30913,0,TRUE,,,,,,,,,,,,,,
143,2808.30913,0,TRUE,,,,,,,,,,,,,,
144,3150.667582,0,TRUE,,,,,,,,,,,,,,
145,3150.667582,0,TRUE,,,,,,,,,,,,,,
146,3150.667582,0,TRUE,,,,,,,,,,,,,,
147,3150.667582,0,TRUE,,,,,,,,,,,,,,
148,3150.667582,0,TRUE,,,,,,,,,,,,,,
149,3150.667582,0,TRUE,,,,,,,,,,,,,,
150,3150.667582,0,TRUE,,,,,,,,,,,,,,
151,3150.667582,0,TRUE,,,,,,,,,,,,,,
152,3150.667582,0,TRUE,,,,,,,,,,,,,,
153,3150.667582,0,TRUE,,,,,,,,,,,,,,
154,3150.667582,0,TRUE,,,,,,,,,,,,,,
155,3150.667582,0,TRUE,,,,,,,,,,,,,,
156,3150.667582,0,TRUE,,,,,,,,,,,,,,
157,3150.667582,0,TRUE,,,,,,,,,,,,,,
158,3150.667582,0,TRUE,,,,,,,,,,,,,,
159,3150.667582,0,TRUE,,,,,,,,,,,,,,
160,3471.273282,0,TRUE,,,,,,,,,,,,,,
161,3471.273282,0,TRUE,,,,,,,,,,,,,,
162,3471.273282,0,TRUE,,,,,,,,,,,,,,
163,3471.273282,0,TRUE,,,,,,,,,,,,,,
164,3471.273282,0,TRUE,,,,,,,,,,,,,,
165,3471.273282,0,TRUE,,,,,,,,,,,,,,
166,3471.273282,0,TRUE,,,,,,,,,,,,,,
167,3471.273282,0,TRUE,,,,,,,,,,,,,,
168,3471.273282,0,TRUE,,,,,,,,,,,,,,
169,3471.273282,0,TRUE,,,,,,,,,,,,,,
170,3471.273282,0,TRUE,,,,,,,,,,,,,,
171,3471.273282,0,TRUE,,,,,,,,,,,,,,
172,3471.273282,0,TRUE,,,,,,,,,,,,,,
173,3471.273282,0,TRUE,,,,,,,,,,,,,,
174,3471.273282,0,TRUE,,,,,,,,,,,,,,
175,3471.273282,0,TRUE,,,,,,,,,,,,,,
176,3780.920166,0,TRUE,,,,,,,,,,,,,,
177,3780.920166,0,TRUE,,,,,,,,,,,,,,
178,3780.920166,0,TRUE,,,,,,,,,,,,,,
179,3780.920166,0,TRUE,,,,,,,,,,,,,,
180,3780.920166,0,TRUE,,,,,,,,,,,,,,
181,3780.920166,0,TRUE,,,,,,,,,,,,,,
182,3780.920166,0,TRUE,,,,,,,,,,,,,,
183,3780.920166,0,TRUE,,,,,,,,,,,,,,
184,3780.920166,0,TRUE,,,,,,,,,,,,,,
185,3780.920166,0,TRUE,,,,,,,,,,,,,,
186,3780.920166,0,TRUE,,,,,,,,,,,,,,
187,3780.920166,0,TRUE,,,,,,,,,,,,,,
188,3780.920166,0,TRUE,,,,,,,,,,,,,,
189,3780.920166,0,TRUE,,,,,,,,,,,,,,
190,3780.920166,0,TRUE,,,,,,,,,,,,,,
191,3780.920166,0,TRUE,,,,,,,,,,,,,,
192,4147.37425,0,TRUE,,,,,,,,,,,,,,
193,4147.37425,0,TRUE,,,,,,,,,,,,,,
194,4147.37425,0,TRUE,,,,,,,,,,,,,,
195,4147.37425,0,TRUE,,,,,,,,,,,,,,
196,4147.37425,0,TRUE,,,,,,,,,,,,,,
197,4147.37425,0,TRUE,,,,,,,,,,,,,,
198,4147.37425,0,TRUE,,,,,,,,,,,,,,
199,4147.37425,0,TRUE,,,,,,,,,,,,,,
200,4147.37425,0,TRUE,,,,,,,,,,,,,,
201,4147.37425,0,TRUE,,,,,,,,,,,,,,
