"export-plots data (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"01/22/2022 22:38:55:399 +0100"

"MODEL SETTINGS"
"initial-perc-families","initial-perc-couples","initial-perc-singles","initial-num-recycling-companies","r-capacity","initial-num-collection-points","c-capacity","model-version","total-budget","fraction-of-campaign","fraction-of-technology","fraction-of-collection","recycling-changing-ratio","collection-changing-ratio","population","max-bottles","show-bottles?"
"0.2","0.3","0.5","2","1000","5","1000","""yes-policy""","1000","0.25","0.25","0.5","1","2","100","10000000","true"

"""num-bottle-per"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","524","0","1000","true","""num-recycle""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""num-recycle""","true","0","1","74","177"
"""num - collect""","true","0","1","57","444"

"""num-recycle""",,,,"""num - collect"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","74","true","0","0","57","true"
"1","0","74","true","1","0","57","true"
"2","0","74","true","2","0","57","true"
"3","0","74","true","3","0","57","true"
"4","0","74","true","4","0","57","true"
"5","0","74","true","5","0","57","true"
"6","0","74","true","6","0","57","true"
"7","0","74","true","7","0","57","true"
"8","0","74","true","8","0","57","true"
"9","0","74","true","9","0","57","true"
"10","0","74","true","10","0","57","true"
"11","0","74","true","11","0","57","true"
"12","0","74","true","12","0","57","true"
"13","0","74","true","13","0","57","true"
"14","0","74","true","14","0","57","true"
"15","0","74","true","15","186.97172276788274","57","true"
"16","0","74","true","16","186.97172276788274","57","true"
"17","0","74","true","17","186.97172276788274","57","true"
"18","0","74","true","18","186.97172276788274","57","true"
"19","0","74","true","19","186.97172276788274","57","true"
"20","153.09316908527072","74","true","20","186.97172276788274","57","true"
"21","153.09316908527072","74","true","21","186.97172276788274","57","true"
"22","153.09316908527072","74","true","22","186.97172276788274","57","true"
"23","153.09316908527072","74","true","23","186.97172276788274","57","true"
"24","153.09316908527072","74","true","24","186.97172276788274","57","true"
"25","153.09316908527072","74","true","25","398.9897629528025","57","true"
"26","153.09316908527072","74","true","26","398.9897629528025","57","true"
"27","153.09316908527072","74","true","27","398.9897629528025","57","true"
"28","153.09316908527072","74","true","28","398.9897629528025","57","true"
"29","153.09316908527072","74","true","29","398.9897629528025","57","true"
"30","153.09316908527072","74","true","30","398.9897629528025","57","true"
"31","153.09316908527072","74","true","31","398.9897629528025","57","true"
"32","153.09316908527072","74","true","32","398.9897629528025","57","true"
"33","153.09316908527072","74","true","33","398.9897629528025","57","true"
"34","153.09316908527072","74","true","34","398.9897629528025","57","true"
"35","153.09316908527072","74","true","35","263.3850353061847","57","true"
"36","139.099518548278","74","true","36","263.3850353061847","57","true"
"37","139.099518548278","74","true","37","263.3850353061847","57","true"
"38","139.099518548278","74","true","38","263.3850353061847","57","true"
"39","139.099518548278","74","true","39","263.3850353061847","57","true"
"40","139.099518548278","74","true","40","263.3850353061847","57","true"
"41","139.099518548278","74","true","41","263.3850353061847","57","true"
"42","139.099518548278","74","true","42","263.3850353061847","57","true"
"43","139.099518548278","74","true","43","263.3850353061847","57","true"
"44","139.099518548278","74","true","44","263.3850353061847","57","true"
"45","139.099518548278","74","true","45","154.63956473259668","57","true"
"46","139.099518548278","74","true","46","154.63956473259668","57","true"
"47","139.099518548278","74","true","47","154.63956473259668","57","true"
"48","139.099518548278","74","true","48","154.63956473259668","57","true"
"49","139.099518548278","74","true","49","154.63956473259668","57","true"
"50","139.099518548278","74","true","50","154.63956473259668","57","true"
"51","139.099518548278","74","true","51","154.63956473259668","57","true"
"52","202.9147818855747","74","true","52","154.63956473259668","57","true"
"53","202.9147818855747","74","true","53","154.63956473259668","57","true"
"54","202.9147818855747","74","true","54","154.63956473259668","57","true"
"55","202.9147818855747","74","true","55","191.38748284595366","57","true"
"56","202.9147818855747","74","true","56","191.38748284595366","57","true"
"57","202.9147818855747","74","true","57","191.38748284595366","57","true"
"58","202.9147818855747","74","true","58","191.38748284595366","57","true"
"59","202.9147818855747","74","true","59","191.38748284595366","57","true"
"60","202.9147818855747","74","true","60","191.38748284595366","57","true"
"61","202.9147818855747","74","true","61","191.38748284595366","57","true"
"62","202.9147818855747","74","true","62","191.38748284595366","57","true"
"63","202.9147818855747","74","true","63","191.38748284595366","57","true"
"64","202.9147818855747","74","true","64","191.38748284595366","57","true"
"65","202.9147818855747","74","true","65","242.37350014984327","57","true"
"66","202.9147818855747","74","true","66","242.37350014984327","57","true"
"67","202.9147818855747","74","true","67","242.37350014984327","57","true"
"68","264.19833048816","74","true","68","242.37350014984327","57","true"
"69","264.19833048816","74","true","69","242.37350014984327","57","true"
"70","264.19833048816","74","true","70","242.37350014984327","57","true"
"71","264.19833048816","74","true","71","242.37350014984327","57","true"
"72","264.19833048816","74","true","72","242.37350014984327","57","true"
"73","264.19833048816","74","true","73","242.37350014984327","57","true"
"74","264.19833048816","74","true","74","242.37350014984327","57","true"
"75","264.19833048816","74","true","75","294.99071725683285","57","true"
"76","264.19833048816","74","true","76","294.99071725683285","57","true"
"77","264.19833048816","74","true","77","294.99071725683285","57","true"
"78","264.19833048816","74","true","78","294.99071725683285","57","true"
"79","264.19833048816","74","true","79","294.99071725683285","57","true"
"80","264.19833048816","74","true","80","294.99071725683285","57","true"
"81","264.19833048816","74","true","81","294.99071725683285","57","true"
"82","264.19833048816","74","true","82","294.99071725683285","57","true"
"83","264.19833048816","74","true","83","294.99071725683285","57","true"
"84","223.0414234296228","74","true","84","294.99071725683285","57","true"
"85","223.0414234296228","74","true","85","140.50456419017982","57","true"
"86","223.0414234296228","74","true","86","140.50456419017982","57","true"
"87","223.0414234296228","74","true","87","140.50456419017982","57","true"
"88","223.0414234296228","74","true","88","140.50456419017982","57","true"
"89","223.0414234296228","74","true","89","140.50456419017982","57","true"
"90","223.0414234296228","74","true","90","140.50456419017982","57","true"
"91","223.0414234296228","74","true","91","140.50456419017982","57","true"
"92","223.0414234296228","74","true","92","140.50456419017982","57","true"
"93","223.0414234296228","74","true","93","140.50456419017982","57","true"
"94","223.0414234296228","74","true","94","140.50456419017982","57","true"
"95","223.0414234296228","74","true","95","217.2437720476637","57","true"
"96","223.0414234296228","74","true","96","217.2437720476637","57","true"
"97","223.0414234296228","74","true","97","217.2437720476637","57","true"
"98","223.0414234296228","74","true","98","217.2437720476637","57","true"
"99","223.0414234296228","74","true","99","217.2437720476637","57","true"
"100","176.54418229097263","74","true","100","217.2437720476637","57","true"
"101","176.54418229097263","74","true","101","217.2437720476637","57","true"
"102","176.54418229097263","74","true","102","217.2437720476637","57","true"
"103","176.54418229097263","74","true","103","217.2437720476637","57","true"
"104","176.54418229097263","74","true","104","217.2437720476637","57","true"
"105","176.54418229097263","74","true","105","276.53726959540774","57","true"
"106","176.54418229097263","74","true","106","276.53726959540774","57","true"
"107","176.54418229097263","74","true","107","276.53726959540774","57","true"
"108","176.54418229097263","74","true","108","276.53726959540774","57","true"
"109","176.54418229097263","74","true","109","276.53726959540774","57","true"
"110","176.54418229097263","74","true","110","276.53726959540774","57","true"
"111","176.54418229097263","74","true","111","276.53726959540774","57","true"
"112","176.54418229097263","74","true","112","276.53726959540774","57","true"
"113","176.54418229097263","74","true","113","276.53726959540774","57","true"
"114","176.54418229097263","74","true","114","276.53726959540774","57","true"
"115","176.54418229097263","74","true","115","208.45003663569037","57","true"
"116","253.1900333853154","74","true","116","208.45003663569037","57","true"
"117","253.1900333853154","74","true","117","208.45003663569037","57","true"
"118","253.1900333853154","74","true","118","208.45003663569037","57","true"
"119","253.1900333853154","74","true","119","208.45003663569037","57","true"
"120","253.1900333853154","74","true","120","208.45003663569037","57","true"
"121","253.1900333853154","74","true","121","208.45003663569037","57","true"
"122","253.1900333853154","74","true","122","208.45003663569037","57","true"
"123","253.1900333853154","74","true","123","208.45003663569037","57","true"
"124","253.1900333853154","74","true","124","208.45003663569037","57","true"
"125","253.1900333853154","74","true","125","204.96442614704517","57","true"
"126","253.1900333853154","74","true","126","204.96442614704517","57","true"
"127","253.1900333853154","74","true","127","204.96442614704517","57","true"
"128","253.1900333853154","74","true","128","204.96442614704517","57","true"
"129","253.1900333853154","74","true","129","204.96442614704517","57","true"
"130","253.1900333853154","74","true","130","204.96442614704517","57","true"
"131","253.1900333853154","74","true","131","204.96442614704517","57","true"
"132","83.19946420562754","74","true","132","204.96442614704517","57","true"
"133","83.19946420562754","74","true","133","204.96442614704517","57","true"
"134","83.19946420562754","74","true","134","204.96442614704517","57","true"
"135","83.19946420562754","74","true","135","71.62623310778768","57","true"
"136","83.19946420562754","74","true","136","71.62623310778768","57","true"
"137","83.19946420562754","74","true","137","71.62623310778768","57","true"
"138","83.19946420562754","74","true","138","71.62623310778768","57","true"
"139","83.19946420562754","74","true","139","71.62623310778768","57","true"
"140","83.19946420562754","74","true","140","71.62623310778768","57","true"
"141","83.19946420562754","74","true","141","71.62623310778768","57","true"
"142","83.19946420562754","74","true","142","71.62623310778768","57","true"
"143","83.19946420562754","74","true","143","71.62623310778768","57","true"
"144","83.19946420562754","74","true","144","71.62623310778768","57","true"
"145","83.19946420562754","74","true","145","215.3781536445099","57","true"
"146","83.19946420562754","74","true","146","215.3781536445099","57","true"
"147","83.19946420562754","74","true","147","215.3781536445099","57","true"
"148","251.2321703184793","74","true","148","215.3781536445099","57","true"
"149","251.2321703184793","74","true","149","215.3781536445099","57","true"
"150","251.2321703184793","74","true","150","215.3781536445099","57","true"
"151","251.2321703184793","74","true","151","215.3781536445099","57","true"
"152","251.2321703184793","74","true","152","215.3781536445099","57","true"
"153","251.2321703184793","74","true","153","215.3781536445099","57","true"
"154","251.2321703184793","74","true","154","215.3781536445099","57","true"
"155","251.2321703184793","74","true","155","297.1647763528375","57","true"
"156","251.2321703184793","74","true","156","297.1647763528375","57","true"
"157","251.2321703184793","74","true","157","297.1647763528375","57","true"
"158","251.2321703184793","74","true","158","297.1647763528375","57","true"
"159","251.2321703184793","74","true","159","297.1647763528375","57","true"
"160","251.2321703184793","74","true","160","297.1647763528375","57","true"
"161","251.2321703184793","74","true","161","297.1647763528375","57","true"
"162","251.2321703184793","74","true","162","297.1647763528375","57","true"
"163","251.2321703184793","74","true","163","297.1647763528375","57","true"
"164","250.2857696790232","74","true","164","297.1647763528375","57","true"
"165","250.2857696790232","74","true","165","266.8670004930909","57","true"
"166","250.2857696790232","74","true","166","266.8670004930909","57","true"
"167","250.2857696790232","74","true","167","266.8670004930909","57","true"
"168","250.2857696790232","74","true","168","266.8670004930909","57","true"
"169","250.2857696790232","74","true","169","266.8670004930909","57","true"
"170","250.2857696790232","74","true","170","266.8670004930909","57","true"
"171","250.2857696790232","74","true","171","266.8670004930909","57","true"
"172","250.2857696790232","74","true","172","266.8670004930909","57","true"
"173","250.2857696790232","74","true","173","266.8670004930909","57","true"
"174","250.2857696790232","74","true","174","266.8670004930909","57","true"
"175","250.2857696790232","74","true","175","129.60431442990645","57","true"
"176","250.2857696790232","74","true","176","129.60431442990645","57","true"
"177","250.2857696790232","74","true","177","129.60431442990645","57","true"
,,,,"178","129.60431442990645","57","true"
,,,,"179","129.60431442990645","57","true"
,,,,"180","129.60431442990645","57","true"
,,,,"181","129.60431442990645","57","true"
,,,,"182","129.60431442990645","57","true"
,,,,"183","129.60431442990645","57","true"
,,,,"184","129.60431442990645","57","true"
,,,,"185","310.85789957129106","57","true"
,,,,"186","310.85789957129106","57","true"
,,,,"187","310.85789957129106","57","true"
,,,,"188","310.85789957129106","57","true"
,,,,"189","310.85789957129106","57","true"
,,,,"190","310.85789957129106","57","true"
,,,,"191","310.85789957129106","57","true"
,,,,"192","310.85789957129106","57","true"
,,,,"193","310.85789957129106","57","true"
,,,,"194","310.85789957129106","57","true"
,,,,"195","190","57","true"
,,,,"196","190","57","true"
,,,,"197","190","57","true"
,,,,"198","190","57","true"
,,,,"199","190","57","true"
,,,,"200","190","57","true"
,,,,"201","190","57","true"
,,,,"202","190","57","true"
,,,,"203","190","57","true"
,,,,"204","190","57","true"
,,,,"205","225.2943671006291","57","true"
,,,,"206","225.2943671006291","57","true"
,,,,"207","225.2943671006291","57","true"
,,,,"208","225.2943671006291","57","true"
,,,,"209","225.2943671006291","57","true"
,,,,"210","225.2943671006291","57","true"
,,,,"211","225.2943671006291","57","true"
,,,,"212","225.2943671006291","57","true"
,,,,"213","225.2943671006291","57","true"
,,,,"214","225.2943671006291","57","true"
,,,,"215","276.2485798364577","57","true"
,,,,"216","276.2485798364577","57","true"
,,,,"217","276.2485798364577","57","true"
,,,,"218","276.2485798364577","57","true"
,,,,"219","276.2485798364577","57","true"
,,,,"220","276.2485798364577","57","true"
,,,,"221","276.2485798364577","57","true"
,,,,"222","276.2485798364577","57","true"
,,,,"223","276.2485798364577","57","true"
,,,,"224","276.2485798364577","57","true"
,,,,"225","231.48635935398568","57","true"
,,,,"226","231.48635935398568","57","true"
,,,,"227","231.48635935398568","57","true"
,,,,"228","231.48635935398568","57","true"
,,,,"229","231.48635935398568","57","true"
,,,,"230","231.48635935398568","57","true"
,,,,"231","231.48635935398568","57","true"
,,,,"232","231.48635935398568","57","true"
,,,,"233","231.48635935398568","57","true"
,,,,"234","231.48635935398568","57","true"
,,,,"235","396.188314436532","57","true"
,,,,"236","396.188314436532","57","true"
,,,,"237","396.188314436532","57","true"
,,,,"238","396.188314436532","57","true"
,,,,"239","396.188314436532","57","true"
,,,,"240","396.188314436532","57","true"
,,,,"241","396.188314436532","57","true"
,,,,"242","396.188314436532","57","true"
,,,,"243","396.188314436532","57","true"
,,,,"244","396.188314436532","57","true"
,,,,"245","178.32745685956831","57","true"
,,,,"246","178.32745685956831","57","true"
,,,,"247","178.32745685956831","57","true"
,,,,"248","178.32745685956831","57","true"
,,,,"249","178.32745685956831","57","true"
,,,,"250","178.32745685956831","57","true"
,,,,"251","178.32745685956831","57","true"
,,,,"252","178.32745685956831","57","true"
,,,,"253","178.32745685956831","57","true"
,,,,"254","178.32745685956831","57","true"
,,,,"255","130","57","true"
,,,,"256","130","57","true"
,,,,"257","130","57","true"
,,,,"258","130","57","true"
,,,,"259","130","57","true"
,,,,"260","130","57","true"
,,,,"261","130","57","true"
,,,,"262","130","57","true"
,,,,"263","130","57","true"
,,,,"264","130","57","true"
,,,,"265","368.5039230782836","57","true"
,,,,"266","368.5039230782836","57","true"
,,,,"267","368.5039230782836","57","true"
,,,,"268","368.5039230782836","57","true"
,,,,"269","368.5039230782836","57","true"
,,,,"270","368.5039230782836","57","true"
,,,,"271","368.5039230782836","57","true"
,,,,"272","368.5039230782836","57","true"
,,,,"273","368.5039230782836","57","true"
,,,,"274","368.5039230782836","57","true"
,,,,"275","276.12828065878773","57","true"
,,,,"276","276.12828065878773","57","true"
,,,,"277","276.12828065878773","57","true"
,,,,"278","276.12828065878773","57","true"
,,,,"279","276.12828065878773","57","true"
,,,,"280","276.12828065878773","57","true"
,,,,"281","276.12828065878773","57","true"
,,,,"282","276.12828065878773","57","true"
,,,,"283","276.12828065878773","57","true"
,,,,"284","276.12828065878773","57","true"
,,,,"285","255.74750847001553","57","true"
,,,,"286","255.74750847001553","57","true"
,,,,"287","255.74750847001553","57","true"
,,,,"288","255.74750847001553","57","true"
,,,,"289","255.74750847001553","57","true"
,,,,"290","255.74750847001553","57","true"
,,,,"291","255.74750847001553","57","true"
,,,,"292","255.74750847001553","57","true"
,,,,"293","255.74750847001553","57","true"
,,,,"294","255.74750847001553","57","true"
,,,,"295","222.1292841746199","57","true"
,,,,"296","222.1292841746199","57","true"
,,,,"297","222.1292841746199","57","true"
,,,,"298","222.1292841746199","57","true"
,,,,"299","222.1292841746199","57","true"
,,,,"300","222.1292841746199","57","true"
,,,,"301","222.1292841746199","57","true"
,,,,"302","222.1292841746199","57","true"
,,,,"303","222.1292841746199","57","true"
,,,,"304","222.1292841746199","57","true"
,,,,"305","147.1438607719308","57","true"
,,,,"306","147.1438607719308","57","true"
,,,,"307","147.1438607719308","57","true"
,,,,"308","147.1438607719308","57","true"
,,,,"309","147.1438607719308","57","true"
,,,,"310","147.1438607719308","57","true"
,,,,"311","147.1438607719308","57","true"
,,,,"312","147.1438607719308","57","true"
,,,,"313","147.1438607719308","57","true"
,,,,"314","147.1438607719308","57","true"
,,,,"315","227.46756009794694","57","true"
,,,,"316","227.46756009794694","57","true"
,,,,"317","227.46756009794694","57","true"
,,,,"318","227.46756009794694","57","true"
,,,,"319","227.46756009794694","57","true"
,,,,"320","227.46756009794694","57","true"
,,,,"321","227.46756009794694","57","true"
,,,,"322","227.46756009794694","57","true"
,,,,"323","227.46756009794694","57","true"
,,,,"324","227.46756009794694","57","true"
,,,,"325","84.0398628339672","57","true"
,,,,"326","84.0398628339672","57","true"
,,,,"327","84.0398628339672","57","true"
,,,,"328","84.0398628339672","57","true"
,,,,"329","84.0398628339672","57","true"
,,,,"330","84.0398628339672","57","true"
,,,,"331","84.0398628339672","57","true"
,,,,"332","84.0398628339672","57","true"
,,,,"333","84.0398628339672","57","true"
,,,,"334","84.0398628339672","57","true"
,,,,"335","96.74187948230289","57","true"
,,,,"336","96.74187948230289","57","true"
,,,,"337","96.74187948230289","57","true"
,,,,"338","96.74187948230289","57","true"
,,,,"339","96.74187948230289","57","true"
,,,,"340","96.74187948230289","57","true"
