"export-plots data (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"01/22/2022 22:30:49:257 +0100"

"MODEL SETTINGS"
"initial-perc-families","initial-perc-couples","initial-perc-singles","initial-num-recycling-companies","r-capacity","initial-num-collection-points","c-capacity","model-version","total-budget","fraction-of-campaign","fraction-of-technology","fraction-of-collection","recycling-changing-ratio","collection-changing-ratio","population","max-bottles","show-bottles?"
"0.2","0.3","0.5","2","1000","5","1000","""yes-policy""","1000","0.5","0.25","0.25","1","2","100","10000000","true"

"""num-bottle-per"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","524","0","1000","true","""num-recycle""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""num-recycle""","true","0","1","74","177"
"""num - collect""","true","0","1","57","444"

"""num-recycle""",,,,"""num - collect"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","74","true","0","0","57","true"
"1","0","74","true","1","0","57","true"
"2","0","74","true","2","0","57","true"
"3","0","74","true","3","0","57","true"
"4","0","74","true","4","0","57","true"
"5","0","74","true","5","0","57","true"
"6","0","74","true","6","0","57","true"
"7","0","74","true","7","0","57","true"
"8","0","74","true","8","0","57","true"
"9","0","74","true","9","0","57","true"
"10","0","74","true","10","0","57","true"
"11","0","74","true","11","0","57","true"
"12","0","74","true","12","0","57","true"
"13","0","74","true","13","0","57","true"
"14","0","74","true","14","0","57","true"
"15","0","74","true","15","265.81552044830977","57","true"
"16","0","74","true","16","265.81552044830977","57","true"
"17","0","74","true","17","265.81552044830977","57","true"
"18","0","74","true","18","265.81552044830977","57","true"
"19","0","74","true","19","265.81552044830977","57","true"
"20","210.04490313975904","74","true","20","265.81552044830977","57","true"
"21","210.04490313975904","74","true","21","265.81552044830977","57","true"
"22","210.04490313975904","74","true","22","265.81552044830977","57","true"
"23","210.04490313975904","74","true","23","265.81552044830977","57","true"
"24","210.04490313975904","74","true","24","265.81552044830977","57","true"
"25","210.04490313975904","74","true","25","292.96789039876944","57","true"
"26","210.04490313975904","74","true","26","292.96789039876944","57","true"
"27","210.04490313975904","74","true","27","292.96789039876944","57","true"
"28","210.04490313975904","74","true","28","292.96789039876944","57","true"
"29","210.04490313975904","74","true","29","292.96789039876944","57","true"
"30","210.04490313975904","74","true","30","292.96789039876944","57","true"
"31","210.04490313975904","74","true","31","292.96789039876944","57","true"
"32","210.04490313975904","74","true","32","292.96789039876944","57","true"
"33","210.04490313975904","74","true","33","292.96789039876944","57","true"
"34","210.04490313975904","74","true","34","292.96789039876944","57","true"
"35","210.04490313975904","74","true","35","307.13756760477065","57","true"
"36","112.73595639268953","74","true","36","307.13756760477065","57","true"
"37","112.73595639268953","74","true","37","307.13756760477065","57","true"
"38","112.73595639268953","74","true","38","307.13756760477065","57","true"
"39","112.73595639268953","74","true","39","307.13756760477065","57","true"
"40","112.73595639268953","74","true","40","307.13756760477065","57","true"
"41","112.73595639268953","74","true","41","307.13756760477065","57","true"
"42","112.73595639268953","74","true","42","307.13756760477065","57","true"
"43","112.73595639268953","74","true","43","307.13756760477065","57","true"
"44","112.73595639268953","74","true","44","307.13756760477065","57","true"
"45","112.73595639268953","74","true","45","212.16656882803943","57","true"
"46","112.73595639268953","74","true","46","212.16656882803943","57","true"
"47","112.73595639268953","74","true","47","212.16656882803943","57","true"
"48","112.73595639268953","74","true","48","212.16656882803943","57","true"
"49","112.73595639268953","74","true","49","212.16656882803943","57","true"
"50","112.73595639268953","74","true","50","212.16656882803943","57","true"
"51","112.73595639268953","74","true","51","212.16656882803943","57","true"
"52","222.18816821574202","74","true","52","212.16656882803943","57","true"
"53","222.18816821574202","74","true","53","212.16656882803943","57","true"
"54","222.18816821574202","74","true","54","212.16656882803943","57","true"
"55","222.18816821574202","74","true","55","389.856274773567","57","true"
"56","222.18816821574202","74","true","56","389.856274773567","57","true"
"57","222.18816821574202","74","true","57","389.856274773567","57","true"
"58","222.18816821574202","74","true","58","389.856274773567","57","true"
"59","222.18816821574202","74","true","59","389.856274773567","57","true"
"60","222.18816821574202","74","true","60","389.856274773567","57","true"
"61","222.18816821574202","74","true","61","389.856274773567","57","true"
"62","222.18816821574202","74","true","62","389.856274773567","57","true"
"63","222.18816821574202","74","true","63","389.856274773567","57","true"
"64","222.18816821574202","74","true","64","389.856274773567","57","true"
"65","222.18816821574202","74","true","65","217.5979403523101","57","true"
"66","222.18816821574202","74","true","66","217.5979403523101","57","true"
"67","222.18816821574202","74","true","67","217.5979403523101","57","true"
"68","39.6","74","true","68","217.5979403523101","57","true"
"69","39.6","74","true","69","217.5979403523101","57","true"
"70","39.6","74","true","70","217.5979403523101","57","true"
"71","39.6","74","true","71","217.5979403523101","57","true"
"72","39.6","74","true","72","217.5979403523101","57","true"
"73","39.6","74","true","73","217.5979403523101","57","true"
"74","39.6","74","true","74","217.5979403523101","57","true"
"75","39.6","74","true","75","183.26950231982823","57","true"
"76","39.6","74","true","76","183.26950231982823","57","true"
"77","39.6","74","true","77","183.26950231982823","57","true"
"78","39.6","74","true","78","183.26950231982823","57","true"
"79","39.6","74","true","79","183.26950231982823","57","true"
"80","39.6","74","true","80","183.26950231982823","57","true"
"81","39.6","74","true","81","183.26950231982823","57","true"
"82","39.6","74","true","82","183.26950231982823","57","true"
"83","39.6","74","true","83","183.26950231982823","57","true"
"84","259.82662747359484","74","true","84","183.26950231982823","57","true"
"85","259.82662747359484","74","true","85","113.87470342695913","57","true"
"86","259.82662747359484","74","true","86","113.87470342695913","57","true"
"87","259.82662747359484","74","true","87","113.87470342695913","57","true"
"88","259.82662747359484","74","true","88","113.87470342695913","57","true"
"89","259.82662747359484","74","true","89","113.87470342695913","57","true"
"90","259.82662747359484","74","true","90","113.87470342695913","57","true"
"91","259.82662747359484","74","true","91","113.87470342695913","57","true"
"92","259.82662747359484","74","true","92","113.87470342695913","57","true"
"93","259.82662747359484","74","true","93","113.87470342695913","57","true"
"94","259.82662747359484","74","true","94","113.87470342695913","57","true"
"95","259.82662747359484","74","true","95","159.01441691327136","57","true"
"96","259.82662747359484","74","true","96","159.01441691327136","57","true"
"97","259.82662747359484","74","true","97","159.01441691327136","57","true"
"98","259.82662747359484","74","true","98","159.01441691327136","57","true"
"99","259.82662747359484","74","true","99","159.01441691327136","57","true"
"100","314.08666238168144","74","true","100","159.01441691327136","57","true"
"101","314.08666238168144","74","true","101","159.01441691327136","57","true"
"102","314.08666238168144","74","true","102","159.01441691327136","57","true"
"103","314.08666238168144","74","true","103","159.01441691327136","57","true"
"104","314.08666238168144","74","true","104","159.01441691327136","57","true"
"105","314.08666238168144","74","true","105","146.54541954818484","57","true"
"106","314.08666238168144","74","true","106","146.54541954818484","57","true"
"107","314.08666238168144","74","true","107","146.54541954818484","57","true"
"108","314.08666238168144","74","true","108","146.54541954818484","57","true"
"109","314.08666238168144","74","true","109","146.54541954818484","57","true"
"110","314.08666238168144","74","true","110","146.54541954818484","57","true"
"111","314.08666238168144","74","true","111","146.54541954818484","57","true"
"112","314.08666238168144","74","true","112","146.54541954818484","57","true"
"113","314.08666238168144","74","true","113","146.54541954818484","57","true"
"114","314.08666238168144","74","true","114","146.54541954818484","57","true"
"115","314.08666238168144","74","true","115","280.77781124451076","57","true"
"116","54.45","74","true","116","280.77781124451076","57","true"
"117","54.45","74","true","117","280.77781124451076","57","true"
"118","54.45","74","true","118","280.77781124451076","57","true"
"119","54.45","74","true","119","280.77781124451076","57","true"
"120","54.45","74","true","120","280.77781124451076","57","true"
"121","54.45","74","true","121","280.77781124451076","57","true"
"122","54.45","74","true","122","280.77781124451076","57","true"
"123","54.45","74","true","123","280.77781124451076","57","true"
"124","54.45","74","true","124","280.77781124451076","57","true"
"125","54.45","74","true","125","224.43249314721416","57","true"
"126","54.45","74","true","126","224.43249314721416","57","true"
"127","54.45","74","true","127","224.43249314721416","57","true"
"128","54.45","74","true","128","224.43249314721416","57","true"
"129","54.45","74","true","129","224.43249314721416","57","true"
"130","54.45","74","true","130","224.43249314721416","57","true"
"131","54.45","74","true","131","224.43249314721416","57","true"
"132","125.73000000000002","74","true","132","224.43249314721416","57","true"
"133","125.73000000000002","74","true","133","224.43249314721416","57","true"
"134","125.73000000000002","74","true","134","224.43249314721416","57","true"
"135","125.73000000000002","74","true","135","348.7516930042647","57","true"
"136","125.73000000000002","74","true","136","348.7516930042647","57","true"
"137","125.73000000000002","74","true","137","348.7516930042647","57","true"
"138","125.73000000000002","74","true","138","348.7516930042647","57","true"
"139","125.73000000000002","74","true","139","348.7516930042647","57","true"
"140","125.73000000000002","74","true","140","348.7516930042647","57","true"
"141","125.73000000000002","74","true","141","348.7516930042647","57","true"
"142","125.73000000000002","74","true","142","348.7516930042647","57","true"
"143","125.73000000000002","74","true","143","348.7516930042647","57","true"
"144","125.73000000000002","74","true","144","348.7516930042647","57","true"
"145","125.73000000000002","74","true","145","312.027390686143","57","true"
"146","125.73000000000002","74","true","146","312.027390686143","57","true"
"147","125.73000000000002","74","true","147","312.027390686143","57","true"
"148","337.59000000000003","74","true","148","312.027390686143","57","true"
"149","337.59000000000003","74","true","149","312.027390686143","57","true"
"150","337.59000000000003","74","true","150","312.027390686143","57","true"
"151","337.59000000000003","74","true","151","312.027390686143","57","true"
"152","337.59000000000003","74","true","152","312.027390686143","57","true"
"153","337.59000000000003","74","true","153","312.027390686143","57","true"
"154","337.59000000000003","74","true","154","312.027390686143","57","true"
"155","337.59000000000003","74","true","155","218.72510777503715","57","true"
"156","337.59000000000003","74","true","156","218.72510777503715","57","true"
"157","337.59000000000003","74","true","157","218.72510777503715","57","true"
"158","337.59000000000003","74","true","158","218.72510777503715","57","true"
"159","337.59000000000003","74","true","159","218.72510777503715","57","true"
"160","337.59000000000003","74","true","160","218.72510777503715","57","true"
"161","337.59000000000003","74","true","161","218.72510777503715","57","true"
"162","337.59000000000003","74","true","162","218.72510777503715","57","true"
"163","337.59000000000003","74","true","163","218.72510777503715","57","true"
"164","265.42078485775255","74","true","164","218.72510777503715","57","true"
"165","265.42078485775255","74","true","165","40","57","true"
"166","265.42078485775255","74","true","166","40","57","true"
"167","265.42078485775255","74","true","167","40","57","true"
"168","265.42078485775255","74","true","168","40","57","true"
"169","265.42078485775255","74","true","169","40","57","true"
"170","265.42078485775255","74","true","170","40","57","true"
"171","265.42078485775255","74","true","171","40","57","true"
"172","265.42078485775255","74","true","172","40","57","true"
"173","265.42078485775255","74","true","173","40","57","true"
"174","265.42078485775255","74","true","174","40","57","true"
"175","265.42078485775255","74","true","175","213.92901232682505","57","true"
"176","265.42078485775255","74","true","176","213.92901232682505","57","true"
"177","265.42078485775255","74","true","177","213.92901232682505","57","true"
,,,,"178","213.92901232682505","57","true"
,,,,"179","213.92901232682505","57","true"
,,,,"180","213.92901232682505","57","true"
,,,,"181","213.92901232682505","57","true"
,,,,"182","213.92901232682505","57","true"
,,,,"183","213.92901232682505","57","true"
,,,,"184","213.92901232682505","57","true"
,,,,"185","163.1159626109371","57","true"
,,,,"186","163.1159626109371","57","true"
,,,,"187","163.1159626109371","57","true"
,,,,"188","163.1159626109371","57","true"
,,,,"189","163.1159626109371","57","true"
,,,,"190","163.1159626109371","57","true"
,,,,"191","163.1159626109371","57","true"
,,,,"192","163.1159626109371","57","true"
,,,,"193","163.1159626109371","57","true"
,,,,"194","163.1159626109371","57","true"
,,,,"195","222.42403809677248","57","true"
,,,,"196","222.42403809677248","57","true"
,,,,"197","222.42403809677248","57","true"
,,,,"198","222.42403809677248","57","true"
,,,,"199","222.42403809677248","57","true"
,,,,"200","222.42403809677248","57","true"
,,,,"201","222.42403809677248","57","true"
,,,,"202","222.42403809677248","57","true"
,,,,"203","222.42403809677248","57","true"
,,,,"204","222.42403809677248","57","true"
,,,,"205","262.451138862217","57","true"
,,,,"206","262.451138862217","57","true"
,,,,"207","262.451138862217","57","true"
,,,,"208","262.451138862217","57","true"
,,,,"209","262.451138862217","57","true"
,,,,"210","262.451138862217","57","true"
,,,,"211","262.451138862217","57","true"
,,,,"212","262.451138862217","57","true"
,,,,"213","262.451138862217","57","true"
,,,,"214","262.451138862217","57","true"
,,,,"215","276.46986175561665","57","true"
,,,,"216","276.46986175561665","57","true"
,,,,"217","276.46986175561665","57","true"
,,,,"218","276.46986175561665","57","true"
,,,,"219","276.46986175561665","57","true"
,,,,"220","276.46986175561665","57","true"
,,,,"221","276.46986175561665","57","true"
,,,,"222","276.46986175561665","57","true"
,,,,"223","276.46986175561665","57","true"
,,,,"224","276.46986175561665","57","true"
,,,,"225","223.35990502076874","57","true"
,,,,"226","223.35990502076874","57","true"
,,,,"227","223.35990502076874","57","true"
,,,,"228","223.35990502076874","57","true"
,,,,"229","223.35990502076874","57","true"
,,,,"230","223.35990502076874","57","true"
,,,,"231","223.35990502076874","57","true"
,,,,"232","223.35990502076874","57","true"
,,,,"233","223.35990502076874","57","true"
,,,,"234","223.35990502076874","57","true"
,,,,"235","117.66926971195807","57","true"
,,,,"236","117.66926971195807","57","true"
,,,,"237","117.66926971195807","57","true"
,,,,"238","117.66926971195807","57","true"
,,,,"239","117.66926971195807","57","true"
,,,,"240","117.66926971195807","57","true"
,,,,"241","117.66926971195807","57","true"
,,,,"242","117.66926971195807","57","true"
,,,,"243","117.66926971195807","57","true"
,,,,"244","117.66926971195807","57","true"
,,,,"245","317.25925493099135","57","true"
,,,,"246","317.25925493099135","57","true"
,,,,"247","317.25925493099135","57","true"
,,,,"248","317.25925493099135","57","true"
,,,,"249","317.25925493099135","57","true"
,,,,"250","317.25925493099135","57","true"
,,,,"251","317.25925493099135","57","true"
,,,,"252","317.25925493099135","57","true"
,,,,"253","317.25925493099135","57","true"
,,,,"254","317.25925493099135","57","true"
,,,,"255","198.8021086146228","57","true"
,,,,"256","198.8021086146228","57","true"
,,,,"257","198.8021086146228","57","true"
,,,,"258","198.8021086146228","57","true"
,,,,"259","198.8021086146228","57","true"
,,,,"260","198.8021086146228","57","true"
,,,,"261","198.8021086146228","57","true"
,,,,"262","198.8021086146228","57","true"
,,,,"263","198.8021086146228","57","true"
,,,,"264","198.8021086146228","57","true"
,,,,"265","279.53129698173734","57","true"
,,,,"266","279.53129698173734","57","true"
,,,,"267","279.53129698173734","57","true"
,,,,"268","279.53129698173734","57","true"
,,,,"269","279.53129698173734","57","true"
,,,,"270","279.53129698173734","57","true"
,,,,"271","279.53129698173734","57","true"
,,,,"272","279.53129698173734","57","true"
,,,,"273","279.53129698173734","57","true"
,,,,"274","279.53129698173734","57","true"
,,,,"275","209.58022125179977","57","true"
,,,,"276","209.58022125179977","57","true"
,,,,"277","209.58022125179977","57","true"
,,,,"278","209.58022125179977","57","true"
,,,,"279","209.58022125179977","57","true"
,,,,"280","209.58022125179977","57","true"
,,,,"281","209.58022125179977","57","true"
,,,,"282","209.58022125179977","57","true"
,,,,"283","209.58022125179977","57","true"
,,,,"284","209.58022125179977","57","true"
,,,,"285","55","57","true"
,,,,"286","55","57","true"
,,,,"287","55","57","true"
,,,,"288","55","57","true"
,,,,"289","55","57","true"
,,,,"290","55","57","true"
,,,,"291","55","57","true"
,,,,"292","55","57","true"
,,,,"293","55","57","true"
,,,,"294","55","57","true"
,,,,"295","143.13217991424048","57","true"
,,,,"296","143.13217991424048","57","true"
,,,,"297","143.13217991424048","57","true"
,,,,"298","143.13217991424048","57","true"
,,,,"299","143.13217991424048","57","true"
,,,,"300","143.13217991424048","57","true"
,,,,"301","143.13217991424048","57","true"
,,,,"302","143.13217991424048","57","true"
,,,,"303","143.13217991424048","57","true"
,,,,"304","143.13217991424048","57","true"
,,,,"305","184.61608435461068","57","true"
,,,,"306","184.61608435461068","57","true"
,,,,"307","184.61608435461068","57","true"
,,,,"308","184.61608435461068","57","true"
,,,,"309","184.61608435461068","57","true"
,,,,"310","184.61608435461068","57","true"
,,,,"311","184.61608435461068","57","true"
,,,,"312","184.61608435461068","57","true"
,,,,"313","184.61608435461068","57","true"
,,,,"314","184.61608435461068","57","true"
,,,,"315","252.52563811445026","57","true"
,,,,"316","252.52563811445026","57","true"
,,,,"317","252.52563811445026","57","true"
,,,,"318","252.52563811445026","57","true"
,,,,"319","252.52563811445026","57","true"
,,,,"320","252.52563811445026","57","true"
,,,,"321","252.52563811445026","57","true"
,,,,"322","252.52563811445026","57","true"
,,,,"323","252.52563811445026","57","true"
,,,,"324","252.52563811445026","57","true"
,,,,"325","127.00000000000001","57","true"
,,,,"326","127.00000000000001","57","true"
,,,,"327","127.00000000000001","57","true"
,,,,"328","127.00000000000001","57","true"
,,,,"329","127.00000000000001","57","true"
,,,,"330","127.00000000000001","57","true"
,,,,"331","127.00000000000001","57","true"
,,,,"332","127.00000000000001","57","true"
,,,,"333","127.00000000000001","57","true"
,,,,"334","127.00000000000001","57","true"
,,,,"335","336.05872223180404","57","true"
,,,,"336","336.05872223180404","57","true"
,,,,"337","336.05872223180404","57","true"
,,,,"338","336.05872223180404","57","true"
,,,,"339","336.05872223180404","57","true"
,,,,"340","336.05872223180404","57","true"
,,,,"341","336.05872223180404","57","true"
,,,,"342","336.05872223180404","57","true"
,,,,"343","336.05872223180404","57","true"
,,,,"344","336.05872223180404","57","true"
,,,,"345","125.83172203806973","57","true"
