"export-plots data (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"01/22/2022 22:40:16:278 +0100"

"MODEL SETTINGS"
"initial-perc-families","initial-perc-couples","initial-perc-singles","initial-num-recycling-companies","r-capacity","initial-num-collection-points","c-capacity","model-version","total-budget","fraction-of-campaign","fraction-of-technology","fraction-of-collection","recycling-changing-ratio","collection-changing-ratio","population","max-bottles","show-bottles?"
"0.2","0.3","0.5","2","1000","5","1000","""yes-policy""","1000","0.25","0.5","0.25","1","2","100","10000000","true"

"""num-bottle-per"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","524","0","1000","true","""num-recycle""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""num-recycle""","true","0","1","74","177"
"""num - collect""","true","0","1","57","444"

"""num-recycle""",,,,"""num - collect"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","74","true","0","0","57","true"
"1","0","74","true","1","0","57","true"
"2","0","74","true","2","0","57","true"
"3","0","74","true","3","0","57","true"
"4","0","74","true","4","0","57","true"
"5","0","74","true","5","0","57","true"
"6","0","74","true","6","0","57","true"
"7","0","74","true","7","0","57","true"
"8","0","74","true","8","0","57","true"
"9","0","74","true","9","0","57","true"
"10","0","74","true","10","0","57","true"
"11","0","74","true","11","0","57","true"
"12","0","74","true","12","0","57","true"
"13","0","74","true","13","0","57","true"
"14","0","74","true","14","0","57","true"
"15","0","74","true","15","278.7545109170831","57","true"
"16","0","74","true","16","278.7545109170831","57","true"
"17","0","74","true","17","278.7545109170831","57","true"
"18","0","74","true","18","278.7545109170831","57","true"
"19","0","74","true","19","278.7545109170831","57","true"
"20","238.46524716241024","74","true","20","278.7545109170831","57","true"
"21","238.46524716241024","74","true","21","278.7545109170831","57","true"
"22","238.46524716241024","74","true","22","278.7545109170831","57","true"
"23","238.46524716241024","74","true","23","278.7545109170831","57","true"
"24","238.46524716241024","74","true","24","278.7545109170831","57","true"
"25","238.46524716241024","74","true","25","75","57","true"
"26","238.46524716241024","74","true","26","75","57","true"
"27","238.46524716241024","74","true","27","75","57","true"
"28","238.46524716241024","74","true","28","75","57","true"
"29","238.46524716241024","74","true","29","75","57","true"
"30","238.46524716241024","74","true","30","75","57","true"
"31","238.46524716241024","74","true","31","75","57","true"
"32","238.46524716241024","74","true","32","75","57","true"
"33","238.46524716241024","74","true","33","75","57","true"
"34","238.46524716241024","74","true","34","75","57","true"
"35","238.46524716241024","74","true","35","224.28024057971106","57","true"
"36","94.5032377658927","74","true","36","224.28024057971106","57","true"
"37","94.5032377658927","74","true","37","224.28024057971106","57","true"
"38","94.5032377658927","74","true","38","224.28024057971106","57","true"
"39","94.5032377658927","74","true","39","224.28024057971106","57","true"
"40","94.5032377658927","74","true","40","224.28024057971106","57","true"
"41","94.5032377658927","74","true","41","224.28024057971106","57","true"
"42","94.5032377658927","74","true","42","224.28024057971106","57","true"
"43","94.5032377658927","74","true","43","224.28024057971106","57","true"
"44","94.5032377658927","74","true","44","224.28024057971106","57","true"
"45","94.5032377658927","74","true","45","240.8739870327376","57","true"
"46","94.5032377658927","74","true","46","240.8739870327376","57","true"
"47","94.5032377658927","74","true","47","240.8739870327376","57","true"
"48","94.5032377658927","74","true","48","240.8739870327376","57","true"
"49","94.5032377658927","74","true","49","240.8739870327376","57","true"
"50","94.5032377658927","74","true","50","240.8739870327376","57","true"
"51","94.5032377658927","74","true","51","240.8739870327376","57","true"
"52","242.27655923458573","74","true","52","240.8739870327376","57","true"
"53","242.27655923458573","74","true","53","240.8739870327376","57","true"
"54","242.27655923458573","74","true","54","240.8739870327376","57","true"
"55","242.27655923458573","74","true","55","292.2081566271174","57","true"
"56","242.27655923458573","74","true","56","292.2081566271174","57","true"
"57","242.27655923458573","74","true","57","292.2081566271174","57","true"
"58","242.27655923458573","74","true","58","292.2081566271174","57","true"
"59","242.27655923458573","74","true","59","292.2081566271174","57","true"
"60","242.27655923458573","74","true","60","292.2081566271174","57","true"
"61","242.27655923458573","74","true","61","292.2081566271174","57","true"
"62","242.27655923458573","74","true","62","292.2081566271174","57","true"
"63","242.27655923458573","74","true","63","292.2081566271174","57","true"
"64","242.27655923458573","74","true","64","292.2081566271174","57","true"
"65","242.27655923458573","74","true","65","127.27497951129942","57","true"
"66","242.27655923458573","74","true","66","127.27497951129942","57","true"
"67","242.27655923458573","74","true","67","127.27497951129942","57","true"
"68","131.61647999554503","74","true","68","127.27497951129942","57","true"
"69","131.61647999554503","74","true","69","127.27497951129942","57","true"
"70","131.61647999554503","74","true","70","127.27497951129942","57","true"
"71","131.61647999554503","74","true","71","127.27497951129942","57","true"
"72","131.61647999554503","74","true","72","127.27497951129942","57","true"
"73","131.61647999554503","74","true","73","127.27497951129942","57","true"
"74","131.61647999554503","74","true","74","127.27497951129942","57","true"
"75","131.61647999554503","74","true","75","70.99999999999997","57","true"
"76","131.61647999554503","74","true","76","70.99999999999997","57","true"
"77","131.61647999554503","74","true","77","70.99999999999997","57","true"
"78","131.61647999554503","74","true","78","70.99999999999997","57","true"
"79","131.61647999554503","74","true","79","70.99999999999997","57","true"
"80","131.61647999554503","74","true","80","70.99999999999997","57","true"
"81","131.61647999554503","74","true","81","70.99999999999997","57","true"
"82","131.61647999554503","74","true","82","70.99999999999997","57","true"
"83","131.61647999554503","74","true","83","70.99999999999997","57","true"
"84","388.5248828849066","74","true","84","70.99999999999997","57","true"
"85","388.5248828849066","74","true","85","95.45781592514415","57","true"
"86","388.5248828849066","74","true","86","95.45781592514415","57","true"
"87","388.5248828849066","74","true","87","95.45781592514415","57","true"
"88","388.5248828849066","74","true","88","95.45781592514415","57","true"
"89","388.5248828849066","74","true","89","95.45781592514415","57","true"
"90","388.5248828849066","74","true","90","95.45781592514415","57","true"
"91","388.5248828849066","74","true","91","95.45781592514415","57","true"
"92","388.5248828849066","74","true","92","95.45781592514415","57","true"
"93","388.5248828849066","74","true","93","95.45781592514415","57","true"
"94","388.5248828849066","74","true","94","95.45781592514415","57","true"
"95","388.5248828849066","74","true","95","240.2832453438849","57","true"
"96","388.5248828849066","74","true","96","240.2832453438849","57","true"
"97","388.5248828849066","74","true","97","240.2832453438849","57","true"
"98","388.5248828849066","74","true","98","240.2832453438849","57","true"
"99","388.5248828849066","74","true","99","240.2832453438849","57","true"
"100","406.4029542258855","74","true","100","240.2832453438849","57","true"
"101","406.4029542258855","74","true","101","240.2832453438849","57","true"
"102","406.4029542258855","74","true","102","240.2832453438849","57","true"
"103","406.4029542258855","74","true","103","240.2832453438849","57","true"
"104","406.4029542258855","74","true","104","240.2832453438849","57","true"
"105","406.4029542258855","74","true","105","230","57","true"
"106","406.4029542258855","74","true","106","230","57","true"
"107","406.4029542258855","74","true","107","230","57","true"
"108","406.4029542258855","74","true","108","230","57","true"
"109","406.4029542258855","74","true","109","230","57","true"
"110","406.4029542258855","74","true","110","230","57","true"
"111","406.4029542258855","74","true","111","230","57","true"
"112","406.4029542258855","74","true","112","230","57","true"
"113","406.4029542258855","74","true","113","230","57","true"
"114","406.4029542258855","74","true","114","230","57","true"
"115","406.4029542258855","74","true","115","308.19050749682714","57","true"
"116","214.05142298729584","74","true","116","308.19050749682714","57","true"
"117","214.05142298729584","74","true","117","308.19050749682714","57","true"
"118","214.05142298729584","74","true","118","308.19050749682714","57","true"
"119","214.05142298729584","74","true","119","308.19050749682714","57","true"
"120","214.05142298729584","74","true","120","308.19050749682714","57","true"
"121","214.05142298729584","74","true","121","308.19050749682714","57","true"
"122","214.05142298729584","74","true","122","308.19050749682714","57","true"
"123","214.05142298729584","74","true","123","308.19050749682714","57","true"
"124","214.05142298729584","74","true","124","308.19050749682714","57","true"
"125","214.05142298729584","74","true","125","244.72379720665225","57","true"
"126","214.05142298729584","74","true","126","244.72379720665225","57","true"
"127","214.05142298729584","74","true","127","244.72379720665225","57","true"
"128","214.05142298729584","74","true","128","244.72379720665225","57","true"
"129","214.05142298729584","74","true","129","244.72379720665225","57","true"
"130","214.05142298729584","74","true","130","244.72379720665225","57","true"
"131","214.05142298729584","74","true","131","244.72379720665225","57","true"
"132","21.738079269407077","74","true","132","244.72379720665225","57","true"
"133","21.738079269407077","74","true","133","244.72379720665225","57","true"
"134","21.738079269407077","74","true","134","244.72379720665225","57","true"
"135","21.738079269407077","74","true","135","205","57","true"
"136","21.738079269407077","74","true","136","205","57","true"
"137","21.738079269407077","74","true","137","205","57","true"
"138","21.738079269407077","74","true","138","205","57","true"
"139","21.738079269407077","74","true","139","205","57","true"
"140","21.738079269407077","74","true","140","205","57","true"
"141","21.738079269407077","74","true","141","205","57","true"
"142","21.738079269407077","74","true","142","205","57","true"
"143","21.738079269407077","74","true","143","205","57","true"
"144","21.738079269407077","74","true","144","205","57","true"
"145","21.738079269407077","74","true","145","148.00000000000003","57","true"
"146","21.738079269407077","74","true","146","148.00000000000003","57","true"
"147","21.738079269407077","74","true","147","148.00000000000003","57","true"
"148","121.10325045971051","74","true","148","148.00000000000003","57","true"
"149","121.10325045971051","74","true","149","148.00000000000003","57","true"
"150","121.10325045971051","74","true","150","148.00000000000003","57","true"
"151","121.10325045971051","74","true","151","148.00000000000003","57","true"
"152","121.10325045971051","74","true","152","148.00000000000003","57","true"
"153","121.10325045971051","74","true","153","148.00000000000003","57","true"
"154","121.10325045971051","74","true","154","148.00000000000003","57","true"
"155","121.10325045971051","74","true","155","461.5844658103361","57","true"
"156","121.10325045971051","74","true","156","461.5844658103361","57","true"
"157","121.10325045971051","74","true","157","461.5844658103361","57","true"
"158","121.10325045971051","74","true","158","461.5844658103361","57","true"
"159","121.10325045971051","74","true","159","461.5844658103361","57","true"
"160","121.10325045971051","74","true","160","461.5844658103361","57","true"
"161","121.10325045971051","74","true","161","461.5844658103361","57","true"
"162","121.10325045971051","74","true","162","461.5844658103361","57","true"
"163","121.10325045971051","74","true","163","461.5844658103361","57","true"
"164","142.4303717920053","74","true","164","461.5844658103361","57","true"
"165","142.4303717920053","74","true","165","132.94593938943942","57","true"
"166","142.4303717920053","74","true","166","132.94593938943942","57","true"
"167","142.4303717920053","74","true","167","132.94593938943942","57","true"
"168","142.4303717920053","74","true","168","132.94593938943942","57","true"
"169","142.4303717920053","74","true","169","132.94593938943942","57","true"
"170","142.4303717920053","74","true","170","132.94593938943942","57","true"
"171","142.4303717920053","74","true","171","132.94593938943942","57","true"
"172","142.4303717920053","74","true","172","132.94593938943942","57","true"
"173","142.4303717920053","74","true","173","132.94593938943942","57","true"
"174","142.4303717920053","74","true","174","132.94593938943942","57","true"
"175","142.4303717920053","74","true","175","216.38695851271268","57","true"
"176","142.4303717920053","74","true","176","216.38695851271268","57","true"
"177","142.4303717920053","74","true","177","216.38695851271268","57","true"
,,,,"178","216.38695851271268","57","true"
,,,,"179","216.38695851271268","57","true"
,,,,"180","216.38695851271268","57","true"
,,,,"181","216.38695851271268","57","true"
,,,,"182","216.38695851271268","57","true"
,,,,"183","216.38695851271268","57","true"
,,,,"184","216.38695851271268","57","true"
,,,,"185","360.93153787502064","57","true"
,,,,"186","360.93153787502064","57","true"
,,,,"187","360.93153787502064","57","true"
,,,,"188","360.93153787502064","57","true"
,,,,"189","360.93153787502064","57","true"
,,,,"190","360.93153787502064","57","true"
,,,,"191","360.93153787502064","57","true"
,,,,"192","360.93153787502064","57","true"
,,,,"193","360.93153787502064","57","true"
,,,,"194","360.93153787502064","57","true"
,,,,"195","161.6218341445525","57","true"
,,,,"196","161.6218341445525","57","true"
,,,,"197","161.6218341445525","57","true"
,,,,"198","161.6218341445525","57","true"
,,,,"199","161.6218341445525","57","true"
,,,,"200","161.6218341445525","57","true"
,,,,"201","161.6218341445525","57","true"
,,,,"202","161.6218341445525","57","true"
,,,,"203","161.6218341445525","57","true"
,,,,"204","161.6218341445525","57","true"
,,,,"205","392.44937665142083","57","true"
,,,,"206","392.44937665142083","57","true"
,,,,"207","392.44937665142083","57","true"
,,,,"208","392.44937665142083","57","true"
,,,,"209","392.44937665142083","57","true"
,,,,"210","392.44937665142083","57","true"
,,,,"211","392.44937665142083","57","true"
,,,,"212","392.44937665142083","57","true"
,,,,"213","392.44937665142083","57","true"
,,,,"214","392.44937665142083","57","true"
,,,,"215","130.66951842732323","57","true"
,,,,"216","130.66951842732323","57","true"
,,,,"217","130.66951842732323","57","true"
,,,,"218","130.66951842732323","57","true"
,,,,"219","130.66951842732323","57","true"
,,,,"220","130.66951842732323","57","true"
,,,,"221","130.66951842732323","57","true"
,,,,"222","130.66951842732323","57","true"
,,,,"223","130.66951842732323","57","true"
,,,,"224","130.66951842732323","57","true"
,,,,"225","202.67106662499575","57","true"
,,,,"226","202.67106662499575","57","true"
,,,,"227","202.67106662499575","57","true"
,,,,"228","202.67106662499575","57","true"
,,,,"229","202.67106662499575","57","true"
,,,,"230","202.67106662499575","57","true"
,,,,"231","202.67106662499575","57","true"
,,,,"232","202.67106662499575","57","true"
,,,,"233","202.67106662499575","57","true"
,,,,"234","202.67106662499575","57","true"
,,,,"235","28.176164590335286","57","true"
,,,,"236","28.176164590335286","57","true"
,,,,"237","28.176164590335286","57","true"
,,,,"238","28.176164590335286","57","true"
,,,,"239","28.176164590335286","57","true"
,,,,"240","28.176164590335286","57","true"
,,,,"241","28.176164590335286","57","true"
,,,,"242","28.176164590335286","57","true"
,,,,"243","28.176164590335286","57","true"
,,,,"244","28.176164590335286","57","true"
,,,,"245","410.5080345716015","57","true"
,,,,"246","410.5080345716015","57","true"
,,,,"247","410.5080345716015","57","true"
,,,,"248","410.5080345716015","57","true"
,,,,"249","410.5080345716015","57","true"
,,,,"250","410.5080345716015","57","true"
,,,,"251","410.5080345716015","57","true"
,,,,"252","410.5080345716015","57","true"
,,,,"253","410.5080345716015","57","true"
,,,,"254","410.5080345716015","57","true"
,,,,"255","337.1328905257946","57","true"
,,,,"256","337.1328905257946","57","true"
,,,,"257","337.1328905257946","57","true"
,,,,"258","337.1328905257946","57","true"
,,,,"259","337.1328905257946","57","true"
,,,,"260","337.1328905257946","57","true"
,,,,"261","337.1328905257946","57","true"
,,,,"262","337.1328905257946","57","true"
,,,,"263","337.1328905257946","57","true"
,,,,"264","337.1328905257946","57","true"
,,,,"265","373.963710388947","57","true"
,,,,"266","373.963710388947","57","true"
,,,,"267","373.963710388947","57","true"
,,,,"268","373.963710388947","57","true"
,,,,"269","373.963710388947","57","true"
,,,,"270","373.963710388947","57","true"
,,,,"271","373.963710388947","57","true"
,,,,"272","373.963710388947","57","true"
,,,,"273","373.963710388947","57","true"
,,,,"274","373.963710388947","57","true"
,,,,"275","256.0710436701612","57","true"
,,,,"276","256.0710436701612","57","true"
,,,,"277","256.0710436701612","57","true"
,,,,"278","256.0710436701612","57","true"
,,,,"279","256.0710436701612","57","true"
,,,,"280","256.0710436701612","57","true"
,,,,"281","256.0710436701612","57","true"
,,,,"282","256.0710436701612","57","true"
,,,,"283","256.0710436701612","57","true"
,,,,"284","256.0710436701612","57","true"
,,,,"285","216.2135585730261","57","true"
,,,,"286","216.2135585730261","57","true"
,,,,"287","216.2135585730261","57","true"
,,,,"288","216.2135585730261","57","true"
,,,,"289","216.2135585730261","57","true"
,,,,"290","216.2135585730261","57","true"
,,,,"291","216.2135585730261","57","true"
,,,,"292","216.2135585730261","57","true"
,,,,"293","216.2135585730261","57","true"
,,,,"294","216.2135585730261","57","true"
,,,,"295","165.29552040614675","57","true"
,,,,"296","165.29552040614675","57","true"
,,,,"297","165.29552040614675","57","true"
,,,,"298","165.29552040614675","57","true"
,,,,"299","165.29552040614675","57","true"
,,,,"300","165.29552040614675","57","true"
,,,,"301","165.29552040614675","57","true"
,,,,"302","165.29552040614675","57","true"
,,,,"303","165.29552040614675","57","true"
,,,,"304","165.29552040614675","57","true"
,,,,"305","187","57","true"
,,,,"306","187","57","true"
,,,,"307","187","57","true"
,,,,"308","187","57","true"
,,,,"309","187","57","true"
,,,,"310","187","57","true"
,,,,"311","187","57","true"
,,,,"312","187","57","true"
,,,,"313","187","57","true"
,,,,"314","187","57","true"
,,,,"315","381.24796122231464","57","true"
,,,,"316","381.24796122231464","57","true"
,,,,"317","381.24796122231464","57","true"
,,,,"318","381.24796122231464","57","true"
,,,,"319","381.24796122231464","57","true"
,,,,"320","381.24796122231464","57","true"
,,,,"321","381.24796122231464","57","true"
,,,,"322","381.24796122231464","57","true"
,,,,"323","381.24796122231464","57","true"
,,,,"324","381.24796122231464","57","true"
,,,,"325","21.957655827683915","57","true"
,,,,"326","21.957655827683915","57","true"
,,,,"327","21.957655827683915","57","true"
,,,,"328","21.957655827683915","57","true"
,,,,"329","21.957655827683915","57","true"
,,,,"330","21.957655827683915","57","true"
,,,,"331","21.957655827683915","57","true"
,,,,"332","21.957655827683915","57","true"
,,,,"333","21.957655827683915","57","true"
,,,,"334","21.957655827683915","57","true"
,,,,"335","315","57","true"
,,,,"336","315","57","true"
,,,,"337","315","57","true"
,,,,"338","315","57","true"
,,,,"339","315","57","true"
,,,,"340","315","57","true"
,,,,"341","315","57","true"
,,,,"342","315","57","true"
,,,,"343","315","57","true"
,,,,"344","315","57","true"
,,,,"345","183.10337877576097","57","true"
,,,,"346","183.10337877576097","57","true"
,,,,"347","183.10337877576097","57","true"
