"export-plots data (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"01/22/2022 22:37:32:588 +0100"

"MODEL SETTINGS"
"initial-perc-singles","initial-num-collection-points","show-bottles?","fraction-of-collection","model-version","population","initial-perc-families","fraction-of-technology","total-budget","fraction-of-campaign","recycling-changing-ratio","initial-perc-couples","max-bottles","initial-num-recycling-companies","c-capacity","collection-changing-ratio","r-capacity"
"0.5","5","true","0","""no-policy""","100","0.2","0","1000","0","1","0.3","10000000","2","1000","2","1000"

"""num-bottle-per"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","524","0","1000","true","""num-recycle""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""num-recycle""","true","0","1","74","177"
"""num - collect""","true","0","1","57","444"

"""num-recycle""",,,,"""num - collect"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","74","true","0","0","57","true"
"1","0","74","true","1","0","57","true"
"2","0","74","true","2","0","57","true"
"3","0","74","true","3","0","57","true"
"4","0","74","true","4","0","57","true"
"5","0","74","true","5","0","57","true"
"6","0","74","true","6","0","57","true"
"7","0","74","true","7","0","57","true"
"8","0","74","true","8","0","57","true"
"9","0","74","true","9","0","57","true"
"10","0","74","true","10","0","57","true"
"11","0","74","true","11","0","57","true"
"12","0","74","true","12","0","57","true"
"13","0","74","true","13","0","57","true"
"14","0","74","true","14","0","57","true"
"15","0","74","true","15","357.9999999999999","57","true"
"16","0","74","true","16","357.9999999999999","57","true"
"17","0","74","true","17","357.9999999999999","57","true"
"18","0","74","true","18","357.9999999999999","57","true"
"19","0","74","true","19","357.9999999999999","57","true"
"20","143.55","74","true","20","357.9999999999999","57","true"
"21","143.55","74","true","21","357.9999999999999","57","true"
"22","143.55","74","true","22","357.9999999999999","57","true"
"23","143.55","74","true","23","357.9999999999999","57","true"
"24","143.55","74","true","24","357.9999999999999","57","true"
"25","143.55","74","true","25","55","57","true"
"26","143.55","74","true","26","55","57","true"
"27","143.55","74","true","27","55","57","true"
"28","143.55","74","true","28","55","57","true"
"29","143.55","74","true","29","55","57","true"
"30","143.55","74","true","30","55","57","true"
"31","143.55","74","true","31","55","57","true"
"32","143.55","74","true","32","55","57","true"
"33","143.55","74","true","33","55","57","true"
"34","143.55","74","true","34","55","57","true"
"35","143.55","74","true","35","207.99999999999994","57","true"
"36","358.3800000000001","74","true","36","207.99999999999994","57","true"
"37","358.3800000000001","74","true","37","207.99999999999994","57","true"
"38","358.3800000000001","74","true","38","207.99999999999994","57","true"
"39","358.3800000000001","74","true","39","207.99999999999994","57","true"
"40","358.3800000000001","74","true","40","207.99999999999994","57","true"
"41","358.3800000000001","74","true","41","207.99999999999994","57","true"
"42","358.3800000000001","74","true","42","207.99999999999994","57","true"
"43","358.3800000000001","74","true","43","207.99999999999994","57","true"
"44","358.3800000000001","74","true","44","207.99999999999994","57","true"
"45","358.3800000000001","74","true","45","145","57","true"
"46","358.3800000000001","74","true","46","145","57","true"
"47","358.3800000000001","74","true","47","145","57","true"
"48","358.3800000000001","74","true","48","145","57","true"
"49","358.3800000000001","74","true","49","145","57","true"
"50","358.3800000000001","74","true","50","145","57","true"
"51","358.3800000000001","74","true","51","145","57","true"
"52","153.45","74","true","52","145","57","true"
"53","153.45","74","true","53","145","57","true"
"54","153.45","74","true","54","145","57","true"
"55","153.45","74","true","55","265.00000000000006","57","true"
"56","153.45","74","true","56","265.00000000000006","57","true"
"57","153.45","74","true","57","265.00000000000006","57","true"
"58","153.45","74","true","58","265.00000000000006","57","true"
"59","153.45","74","true","59","265.00000000000006","57","true"
"60","153.45","74","true","60","265.00000000000006","57","true"
"61","153.45","74","true","61","265.00000000000006","57","true"
"62","153.45","74","true","62","265.00000000000006","57","true"
"63","153.45","74","true","63","265.00000000000006","57","true"
"64","153.45","74","true","64","265.00000000000006","57","true"
"65","153.45","74","true","65","307","57","true"
"66","153.45","74","true","66","307","57","true"
"67","153.45","74","true","67","307","57","true"
"68","136.62","74","true","68","307","57","true"
"69","136.62","74","true","69","307","57","true"
"70","136.62","74","true","70","307","57","true"
"71","136.62","74","true","71","307","57","true"
"72","136.62","74","true","72","307","57","true"
"73","136.62","74","true","73","307","57","true"
"74","136.62","74","true","74","307","57","true"
"75","136.62","74","true","75","180.99999999999997","57","true"
"76","136.62","74","true","76","180.99999999999997","57","true"
"77","136.62","74","true","77","180.99999999999997","57","true"
"78","136.62","74","true","78","180.99999999999997","57","true"
"79","136.62","74","true","79","180.99999999999997","57","true"
"80","136.62","74","true","80","180.99999999999997","57","true"
"81","136.62","74","true","81","180.99999999999997","57","true"
"82","136.62","74","true","82","180.99999999999997","57","true"
"83","136.62","74","true","83","180.99999999999997","57","true"
"84","311.85","74","true","84","180.99999999999997","57","true"
"85","311.85","74","true","85","362.0000000000001","57","true"
"86","311.85","74","true","86","362.0000000000001","57","true"
"87","311.85","74","true","87","362.0000000000001","57","true"
"88","311.85","74","true","88","362.0000000000001","57","true"
"89","311.85","74","true","89","362.0000000000001","57","true"
"90","311.85","74","true","90","362.0000000000001","57","true"
"91","311.85","74","true","91","362.0000000000001","57","true"
"92","311.85","74","true","92","362.0000000000001","57","true"
"93","311.85","74","true","93","362.0000000000001","57","true"
"94","311.85","74","true","94","362.0000000000001","57","true"
"95","311.85","74","true","95","51.99999999999998","57","true"
"96","311.85","74","true","96","51.99999999999998","57","true"
"97","311.85","74","true","97","51.99999999999998","57","true"
"98","311.85","74","true","98","51.99999999999998","57","true"
"99","311.85","74","true","99","51.99999999999998","57","true"
"100","158.4","74","true","100","51.99999999999998","57","true"
"101","158.4","74","true","101","51.99999999999998","57","true"
"102","158.4","74","true","102","51.99999999999998","57","true"
"103","158.4","74","true","103","51.99999999999998","57","true"
"104","158.4","74","true","104","51.99999999999998","57","true"
"105","158.4","74","true","105","165","57","true"
"106","158.4","74","true","106","165","57","true"
"107","158.4","74","true","107","165","57","true"
"108","158.4","74","true","108","165","57","true"
"109","158.4","74","true","109","165","57","true"
"110","158.4","74","true","110","165","57","true"
"111","158.4","74","true","111","165","57","true"
"112","158.4","74","true","112","165","57","true"
"113","158.4","74","true","113","165","57","true"
"114","158.4","74","true","114","165","57","true"
"115","158.4","74","true","115","179.00000000000006","57","true"
"116","44.55","74","true","116","179.00000000000006","57","true"
"117","44.55","74","true","117","179.00000000000006","57","true"
"118","44.55","74","true","118","179.00000000000006","57","true"
"119","44.55","74","true","119","179.00000000000006","57","true"
"120","44.55","74","true","120","179.00000000000006","57","true"
"121","44.55","74","true","121","179.00000000000006","57","true"
"122","44.55","74","true","122","179.00000000000006","57","true"
"123","44.55","74","true","123","179.00000000000006","57","true"
"124","44.55","74","true","124","179.00000000000006","57","true"
"125","44.55","74","true","125","155","57","true"
"126","44.55","74","true","126","155","57","true"
"127","44.55","74","true","127","155","57","true"
"128","44.55","74","true","128","155","57","true"
"129","44.55","74","true","129","155","57","true"
"130","44.55","74","true","130","155","57","true"
"131","44.55","74","true","131","155","57","true"
"132","264.33","74","true","132","155","57","true"
"133","264.33","74","true","133","155","57","true"
"134","264.33","74","true","134","155","57","true"
"135","264.33","74","true","135","158.00000000000003","57","true"
"136","264.33","74","true","136","158.00000000000003","57","true"
"137","264.33","74","true","137","158.00000000000003","57","true"
"138","264.33","74","true","138","158.00000000000003","57","true"
"139","264.33","74","true","139","158.00000000000003","57","true"
"140","264.33","74","true","140","158.00000000000003","57","true"
"141","264.33","74","true","141","158.00000000000003","57","true"
"142","264.33","74","true","142","158.00000000000003","57","true"
"143","264.33","74","true","143","158.00000000000003","57","true"
"144","264.33","74","true","144","158.00000000000003","57","true"
"145","264.33","74","true","145","317.9999999999999","57","true"
"146","264.33","74","true","146","317.9999999999999","57","true"
"147","264.33","74","true","147","317.9999999999999","57","true"
"148","232.65","74","true","148","317.9999999999999","57","true"
"149","232.65","74","true","149","317.9999999999999","57","true"
"150","232.65","74","true","150","317.9999999999999","57","true"
"151","232.65","74","true","151","317.9999999999999","57","true"
"152","232.65","74","true","152","317.9999999999999","57","true"
"153","232.65","74","true","153","317.9999999999999","57","true"
"154","232.65","74","true","154","317.9999999999999","57","true"
"155","232.65","74","true","155","90","57","true"
"156","232.65","74","true","156","90","57","true"
"157","232.65","74","true","157","90","57","true"
"158","232.65","74","true","158","90","57","true"
"159","232.65","74","true","159","90","57","true"
"160","232.65","74","true","160","90","57","true"
"161","232.65","74","true","161","90","57","true"
"162","232.65","74","true","162","90","57","true"
"163","232.65","74","true","163","90","57","true"
"164","241.55999999999995","74","true","164","90","57","true"
"165","241.55999999999995","74","true","165","138","57","true"
"166","241.55999999999995","74","true","166","138","57","true"
"167","241.55999999999995","74","true","167","138","57","true"
"168","241.55999999999995","74","true","168","138","57","true"
"169","241.55999999999995","74","true","169","138","57","true"
"170","241.55999999999995","74","true","170","138","57","true"
"171","241.55999999999995","74","true","171","138","57","true"
"172","241.55999999999995","74","true","172","138","57","true"
"173","241.55999999999995","74","true","173","138","57","true"
"174","241.55999999999995","74","true","174","138","57","true"
"175","241.55999999999995","74","true","175","230","57","true"
"176","241.55999999999995","74","true","176","230","57","true"
"177","241.55999999999995","74","true","177","230","57","true"
,,,,"178","230","57","true"
,,,,"179","230","57","true"
,,,,"180","230","57","true"
,,,,"181","230","57","true"
,,,,"182","230","57","true"
,,,,"183","230","57","true"
,,,,"184","230","57","true"
,,,,"185","303","57","true"
,,,,"186","303","57","true"
,,,,"187","303","57","true"
,,,,"188","303","57","true"
,,,,"189","303","57","true"
,,,,"190","303","57","true"
,,,,"191","303","57","true"
,,,,"192","303","57","true"
,,,,"193","303","57","true"
,,,,"194","303","57","true"
,,,,"195","322.9999999999999","57","true"
,,,,"196","322.9999999999999","57","true"
,,,,"197","322.9999999999999","57","true"
,,,,"198","322.9999999999999","57","true"
,,,,"199","322.9999999999999","57","true"
,,,,"200","322.9999999999999","57","true"
,,,,"201","322.9999999999999","57","true"
,,,,"202","322.9999999999999","57","true"
,,,,"203","322.9999999999999","57","true"
,,,,"204","322.9999999999999","57","true"
,,,,"205","315","57","true"
,,,,"206","315","57","true"
,,,,"207","315","57","true"
,,,,"208","315","57","true"
,,,,"209","315","57","true"
,,,,"210","315","57","true"
,,,,"211","315","57","true"
,,,,"212","315","57","true"
,,,,"213","315","57","true"
,,,,"214","315","57","true"
,,,,"215","317.9999999999999","57","true"
,,,,"216","317.9999999999999","57","true"
,,,,"217","317.9999999999999","57","true"
,,,,"218","317.9999999999999","57","true"
,,,,"219","317.9999999999999","57","true"
,,,,"220","317.9999999999999","57","true"
,,,,"221","317.9999999999999","57","true"
,,,,"222","317.9999999999999","57","true"
,,,,"223","317.9999999999999","57","true"
,,,,"224","317.9999999999999","57","true"
,,,,"225","130","57","true"
,,,,"226","130","57","true"
,,,,"227","130","57","true"
,,,,"228","130","57","true"
,,,,"229","130","57","true"
,,,,"230","130","57","true"
,,,,"231","130","57","true"
,,,,"232","130","57","true"
,,,,"233","130","57","true"
,,,,"234","130","57","true"
,,,,"235","166.00000000000006","57","true"
,,,,"236","166.00000000000006","57","true"
,,,,"237","166.00000000000006","57","true"
,,,,"238","166.00000000000006","57","true"
,,,,"239","166.00000000000006","57","true"
,,,,"240","166.00000000000006","57","true"
,,,,"241","166.00000000000006","57","true"
,,,,"242","166.00000000000006","57","true"
,,,,"243","166.00000000000006","57","true"
,,,,"244","166.00000000000006","57","true"
,,,,"245","160","57","true"
,,,,"246","160","57","true"
,,,,"247","160","57","true"
,,,,"248","160","57","true"
,,,,"249","160","57","true"
,,,,"250","160","57","true"
,,,,"251","160","57","true"
,,,,"252","160","57","true"
,,,,"253","160","57","true"
,,,,"254","160","57","true"
,,,,"255","150","57","true"
,,,,"256","150","57","true"
,,,,"257","150","57","true"
,,,,"258","150","57","true"
,,,,"259","150","57","true"
,,,,"260","150","57","true"
,,,,"261","150","57","true"
,,,,"262","150","57","true"
,,,,"263","150","57","true"
,,,,"264","150","57","true"
,,,,"265","180","57","true"
,,,,"266","180","57","true"
,,,,"267","180","57","true"
,,,,"268","180","57","true"
,,,,"269","180","57","true"
,,,,"270","180","57","true"
,,,,"271","180","57","true"
,,,,"272","180","57","true"
,,,,"273","180","57","true"
,,,,"274","180","57","true"
,,,,"275","272.9999999999999","57","true"
,,,,"276","272.9999999999999","57","true"
,,,,"277","272.9999999999999","57","true"
,,,,"278","272.9999999999999","57","true"
,,,,"279","272.9999999999999","57","true"
,,,,"280","272.9999999999999","57","true"
,,,,"281","272.9999999999999","57","true"
,,,,"282","272.9999999999999","57","true"
,,,,"283","272.9999999999999","57","true"
,,,,"284","272.9999999999999","57","true"
,,,,"285","45","57","true"
,,,,"286","45","57","true"
,,,,"287","45","57","true"
,,,,"288","45","57","true"
,,,,"289","45","57","true"
,,,,"290","45","57","true"
,,,,"291","45","57","true"
,,,,"292","45","57","true"
,,,,"293","45","57","true"
,,,,"294","45","57","true"
,,,,"295","166","57","true"
,,,,"296","166","57","true"
,,,,"297","166","57","true"
,,,,"298","166","57","true"
,,,,"299","166","57","true"
,,,,"300","166","57","true"
,,,,"301","166","57","true"
,,,,"302","166","57","true"
,,,,"303","166","57","true"
,,,,"304","166","57","true"
,,,,"305","240","57","true"
,,,,"306","240","57","true"
,,,,"307","240","57","true"
,,,,"308","240","57","true"
,,,,"309","240","57","true"
,,,,"310","240","57","true"
,,,,"311","240","57","true"
,,,,"312","240","57","true"
,,,,"313","240","57","true"
,,,,"314","240","57","true"
,,,,"315","25","57","true"
,,,,"316","25","57","true"
,,,,"317","25","57","true"
,,,,"318","25","57","true"
,,,,"319","25","57","true"
,,,,"320","25","57","true"
,,,,"321","25","57","true"
,,,,"322","25","57","true"
,,,,"323","25","57","true"
,,,,"324","25","57","true"
,,,,"325","267","57","true"
,,,,"326","267","57","true"
,,,,"327","267","57","true"
,,,,"328","267","57","true"
,,,,"329","267","57","true"
,,,,"330","267","57","true"
,,,,"331","267","57","true"
,,,,"332","267","57","true"
,,,,"333","267","57","true"
,,,,"334","267","57","true"
,,,,"335","242.99999999999991","57","true"
,,,,"336","242.99999999999991","57","true"
,,,,"337","242.99999999999991","57","true"
,,,,"338","242.99999999999991","57","true"
,,,,"339","242.99999999999991","57","true"
,,,,"340","242.99999999999991","57","true"
,,,,"341","242.99999999999991","57","true"
,,,,"342","242.99999999999991","57","true"
,,,,"343","242.99999999999991","57","true"
,,,,"344","242.99999999999991","57","true"
,,,,"345","265.99999999999994","57","true"
,,,,"346","265.99999999999994","57","true"
,,,,"347","265.99999999999994","57","true"
,,,,"348","265.99999999999994","57","true"
,,,,"349","265.99999999999994","57","true"
,,,,"350","265.99999999999994","57","true"
,,,,"351","265.99999999999994","57","true"
,,,,"352","265.99999999999994","57","true"
,,,,"353","265.99999999999994","57","true"
,,,,"354","265.99999999999994","57","true"
,,,,"355","136.99999999999997","57","true"
,,,,"356","136.99999999999997","57","true"
,,,,"357","136.99999999999997","57","true"
,,,,"358","136.99999999999997","57","true"
,,,,"359","136.99999999999997","57","true"
,,,,"360","136.99999999999997","57","true"
,,,,"361","136.99999999999997","57","true"
,,,,"362","136.99999999999997","57","true"
,,,,"363","136.99999999999997","57","true"
,,,,"364","136.99999999999997","57","true"
,,,,"365","235","57","true"
,,,,"366","235","57","true"
,,,,"367","235","57","true"
,,,,"368","235","57","true"
,,,,"369","235","57","true"
,,,,"370","235","57","true"
,,,,"371","235","57","true"
,,,,"372","235","57","true"
,,,,"373","235","57","true"
,,,,"374","235","57","true"
,,,,"375","255","57","true"
,,,,"376","255","57","true"
,,,,"377","255","57","true"
,,,,"378","255","57","true"
,,,,"379","255","57","true"
,,,,"380","255","57","true"
,,,,"381","255","57","true"
,,,,"382","255","57","true"
,,,,"383","255","57","true"
,,,,"384","255","57","true"
,,,,"385","227","57","true"
,,,,"386","227","57","true"
,,,,"387","227","57","true"
,,,,"388","227","57","true"
,,,,"389","227","57","true"
,,,,"390","227","57","true"
,,,,"391","227","57","true"
,,,,"392","227","57","true"
,,,,"393","227","57","true"
,,,,"394","227","57","true"
,,,,"395","265","57","true"
,,,,"396","265","57","true"
,,,,"397","265","57","true"
,,,,"398","265","57","true"
,,,,"399","265","57","true"
,,,,"400","265","57","true"
,,,,"401","265","57","true"
,,,,"402","265","57","true"
,,,,"403","265","57","true"
,,,,"404","265","57","true"
,,,,"405","243.99999999999994","57","true"
,,,,"406","243.99999999999994","57","true"
,,,,"407","243.99999999999994","57","true"
,,,,"408","243.99999999999994","57","true"
,,,,"409","243.99999999999994","57","true"
,,,,"410","243.99999999999994","57","true"
,,,,"411","243.99999999999994","57","true"
,,,,"412","243.99999999999994","57","true"
,,,,"413","243.99999999999994","57","true"
,,,,"414","243.99999999999994","57","true"
,,,,"415","105","57","true"
,,,,"416","105","57","true"
,,,,"417","105","57","true"
,,,,"418","105","57","true"
,,,,"419","105","57","true"
,,,,"420","105","57","true"
,,,,"421","105","57","true"
,,,,"422","105","57","true"
,,,,"423","105","57","true"
,,,,"424","105","57","true"
,,,,"425","334.9999999999999","57","true"
,,,,"426","334.9999999999999","57","true"
,,,,"427","334.9999999999999","57","true"
,,,,"428","334.9999999999999","57","true"
,,,,"429","334.9999999999999","57","true"
