"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"Yes_33% each"
"01/22/2022 22:35:02:613 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10"
"initial-perc-singles","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"initial-num-collection-points","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"show-bottles?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"fraction-of-collection","0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,
"model-version","yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,
"population","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"initial-perc-families","0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,
"fraction-of-technology","0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,
"total-budget","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"fraction-of-campaign","0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,,"0.33",,
"recycling-changing-ratio","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"initial-perc-couples","0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,
"max-bottles","10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,
"initial-num-recycling-companies","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"C-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"collection-changing-ratio","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"R-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"[reporter]","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling"
"[final]","0","0","0.6866968034025063","0","0","0.6341887081287497","0","0","0.8829515221881352","0","0","0.6646708361686818","0","0","0.5126960017742309","0","0","0.5252124479159349","0","0","0.15411822933966043","0","0","0.6993159159150035","0","0","0.357843098844884","0","0","0.734889568589174"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","290552.13951424445","12700.294374265999","1.1717633898404294","287245.87923732033","14259.423426893194","1.2150102798530131","293152.36608250235","13640.839196145895","1.2783605584884539","293088.45161965385","12395.969173182355","1.2884493401558506","289274.8209856192","12406.0223473538","1.1925760227962303","288310.78696299694","11987.341180088408","1.0903578759650545","288264.3192103412","11966.103012734358","1.0838321636886763","297037.5481521171","13936.362299643242","1.1310000404762304","289527.84521625313","12849.083112166962","1.1074542963948686","286636.48420013866","12313.259289149519","1.3385356157212915"
