"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"Yes_50% collection"
"01/22/2022 22:38:55:406 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10"
"initial-perc-singles","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"initial-num-collection-points","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"show-bottles?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"fraction-of-collection","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"model-version","yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,
"population","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"initial-perc-families","0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,
"fraction-of-technology","0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,
"total-budget","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"fraction-of-campaign","0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,
"recycling-changing-ratio","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"initial-perc-couples","0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,
"max-bottles","10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,
"initial-num-recycling-companies","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"C-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"collection-changing-ratio","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"R-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"[reporter]","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling"
"[final]","0","0","0.326461126005362","0","0","0.7986808552451619","0","0","0.507","0","0","0.946184547943463","0","0","0.8590927694523717","0","0","0.4127339093312239","0","0","0.6044392153517292","0","0","0.4415272884902672","0","0","0.3724425370916641","0","0","0.7296961215131872"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","287168.365772964","12450.857133555612","1.2381663341517777","286901.2383793685","11022.523069218247","1.2268876593283178","285156.58186802105","12538.962659178695","1.1931377795254776","291015.25303608587","13222.388760085081","1.2983649142613278","290195.6864444718","13472.380477744562","1.1521741234079195","296779.0593894285","13593.271693108794","1.2226190034932207","285893.3858453495","11738.652971832165","1.2066112148032744","293581.72813198686","12831.67543336269","1.34305981580888","291891.0730069874","14281.442377403277","1.1708653846153843","286652.12390351715","12867.547146042738","1.4996702103410724"
