"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"Yes_50% knowladge"
"01/22/2022 22:30:49:265 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10"
"initial-perc-singles","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"initial-num-collection-points","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"show-bottles?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"fraction-of-collection","0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,
"model-version","yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,
"population","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"initial-perc-families","0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,
"fraction-of-technology","0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,
"total-budget","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"fraction-of-campaign","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"recycling-changing-ratio","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"initial-perc-couples","0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,
"max-bottles","10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,
"initial-num-recycling-companies","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"C-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"collection-changing-ratio","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"R-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"[reporter]","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling"
"[final]","0","0","1.1559542608038016","0","0","0.959963096192939","0","0","0.2526409495548961","0","0","0.49424798540987","0","0","0.5102049931017473","0","0","0.6756062344033545","0","0","0.24546369617733602","0","0","0.9565556312259451","0","0","0.6858418213378619","0","0","1.0071334576992064"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","285436.7560650544","12238.641811037282","1.189713284409719","285852.1063261963","13276.929134116146","1.1057198041323617","289425.7066756461","13309.666381968571","1.1789477449134564","284797.9800962342","11724.821256109282","1.1704843411101127","287698.5343945834","12750.267754073262","1.090091938561783","286742.9554715268","13891.493108274926","1.3444958405346823","284622.05648394715","12630.808198729306","1.108342492719116","293867.3616134675","12684.339375892883","1.1806211180124224","291831.3278088909","12832.839104152776","1.1958318594584616","288883.730337527","12438.60825184456","1.2141892901543425"
