"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"Yes_50% recycling"
"01/22/2022 22:40:16:287 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10"
"initial-perc-singles","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"initial-num-collection-points","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"show-bottles?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"fraction-of-collection","0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,
"model-version","yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,,"yes-policy",,
"population","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"initial-perc-families","0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,
"fraction-of-technology","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"total-budget","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"fraction-of-campaign","0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,
"recycling-changing-ratio","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"initial-perc-couples","0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,
"max-bottles","10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,
"initial-num-recycling-companies","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"C-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"collection-changing-ratio","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"R-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"[reporter]","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling"
"[final]","0","0","0.8512738853503186","0","0","0.41433064850457424","0","0","0.4636708298488598","0","0","1.0592161393355446","0","0","0.3033947133351953","0","0","0.3700712427078215","0","0","0.3016496040733855","0","0","0.5839887640449438","0","0","0.24722614224011513","0","0","0.4164630754152202"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","289336.86923373066","13284.994950600181","1.2172164564398866","282153.6022375663","12299.955076427486","1.159211739546091","289119.020189134","12146.812567604164","1.0933286417623391","291747.2306553057","12086.487891547315","1.3465573266250863","279141.31790789036","11849.422905511366","1.2012292844912649","283525.21952737577","12223.070949988893","1.162289218658492","287966.3306962856","13706.115740267456","1.2069332877616574","288326.1176239326","12899.029469407955","1.1378449227836684","290580.6409741956","13029.796593368685","1.1599152592639266","289341.5642114338","13727.22882805541","1.2738520750324807"
