"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"no-policy"
"01/22/2022 22:37:32:595 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10"
"initial-perc-singles","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"initial-num-collection-points","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"show-bottles?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"fraction-of-collection","0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,
"model-version","no-policy",,,"no-policy",,,"no-policy",,,"no-policy",,,"no-policy",,,"no-policy",,,"no-policy",,,"no-policy",,,"no-policy",,,"no-policy",,
"population","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"initial-perc-families","0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,
"fraction-of-technology","0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,
"total-budget","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"fraction-of-campaign","0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,
"recycling-changing-ratio","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"initial-perc-couples","0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,,"0.3",,
"max-bottles","10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,,"10000000",,
"initial-num-recycling-companies","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"C-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"collection-changing-ratio","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"R-capacity","1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,,"1000",,
"[reporter]","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling","total-collection","total-recycle","rate-recycling"
"[final]","0","0","0.797227722772277","0","0","0.3741964285714285","0","0","0.7703013698630136","0","0","0.504871794871795","0","0","0.5210526315789473","0","0","0.2931117824773415","0","0","0.7579228486646884","0","0","0.27873786407766993","0","0","0.12143999999999996","0","0","0.7446397694524497"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","264585","11800.799999999996","1.1096703296703294","264350","11250.359999999993","1.107312138728324","258355","10945.44","0.9607100591715977","259535","11598.839999999997","1.2834527687296418","258130","13028.39999999999","1.1806211180124224","263470","10989.000000000007","1.0875223880597011","260740","12062.160000000005","1.1425210084033617","265630","10644.48","1.190392749244713","255740","11404.800000000003","1.143671641791045","259765","12557.159999999996","1.1947222222222222"
